SCHOOL_YEAR,ST,LEA_NAME,ST_LEAID,LEAID,LSTREET1,LSTREET2,LSTREET3,LCITY,LZIP,WEBSITE,G_PK_OFFERED,GSLO,GSHI
2023-2024,NJ,Evesham Township School District,NJ-051420,3404890,25 S. Maple Avenue,NA,NA,Marlton,08053,http://www.evesham.k12.nj.us,Yes,PK,08
2023-2024,NJ,Fair Haven School District,NJ-251440,3404950,224 Hance Road,Fair Haven,NA,Fair Haven,07704,http://www.fairhaven.edu,Yes,PK,08
2023-2024,NJ,Fairfield Public School District,NJ-131465,3405010,277 Fairfield Road,Suite 208,NA,Fairfield,07004,http://www.fpsk6.org,Yes,PK,06
2023-2024,NJ,Fairfield Township School District,NJ-111460,3405040,375 Gouldtown-Woodruff Rd.,NA,NA,Bridgeton,08302,http://www.fairfield.k12.nj.us,Yes,PK,08
2023-2024,NJ,Fairview Public School District,NJ-031470,3405070,130 Hamilton Avenue,NA,NA,Fairview,07022,http://www.fairviewps.org,Yes,PK,08
2023-2024,NJ,Farmingdale Public School District,NJ-251490,3405130,49 Academy Street,NA,NA,Farmingdale,07727,http://www.farmingdaleschool.com,Yes,PK,08
2023-2024,NJ,Flemington-Raritan Regional School District,NJ-191510,3405190,50 Court Street,NA,NA,Flemington,08822,http://www.frsd.k12.nj.us,Yes,PK,08
2023-2024,NJ,Florham Park School District,NJ-271530,3405250,67 Ridgedale Aveune,NA,NA,Florham Park,07932,http://www.fpks.org,Yes,PK,08
2023-2024,NJ,Folsom Borough School District,NJ-011540,3405280,1357 Mays Landing Road,NA,NA,Folsom,08037,http://www.folsomschool.org/,Yes,PK,08
2023-2024,NJ,Frankford Township Consolidated School District,NJ-371560,3405340,2 Pines Road,NA,NA,Branchville,07826,http://www.frankfordschool.org,Yes,PK,08
2023-2024,NJ,Franklin Lakes School District,NJ-031580,3405370,490 Pulis Avenue,NA,NA,Franklin Lakes,07417,http://www.franklinlakes.k12.nj.us,Yes,PK,08
2023-2024,NJ,Franklin Borough School District,NJ-371570,3405400,50 Washington Avenue,NA,NA,Franklin,07416,http://www.fboe.org,Yes,PK,08
2023-2024,NJ,Township of Franklin School District,NJ-151590,3405430,3228 Coles Mill Road,NA,NA,Franklinville,08322,http://www.franklintwpschools.org,Yes,PK,06
2023-2024,NJ,Franklin Township School District,NJ-191600,3405460,226 Quakertown Road,NA,NA,Quakertown,08868,http://www.ftschool.org,Yes,PK,08
2023-2024,NJ,Franklin Township School District,NJ-411620,3405520,52 Asbury-Broadway Road,NA,NA,Washington,07882,http://www.franklinschool.org,Yes,PK,06
2023-2024,NJ,Fredon Township School District,NJ-371630,3405550,459 Route #94S,NA,NA,Newton,07860,http://www.fredon.org,Yes,PK,06
2023-2024,NJ,Freehold Borough School District,NJ-251640,3405580,280 Park Avenue,NA,NA,Freehold,07728,http://www.freeholdboro.k12.nj.us,Yes,PK,08
2023-2024,NJ,Freehold Township School District,NJ-251660,3405640,384 West Main Street,NA,NA,Freehold,07728,http://www.freeholdtwp.k12.nj.us,Yes,PK,08
2023-2024,NJ,Frelinghuysen Township School District,NJ-411670,3405670,780 Route 94,NA,NA,Newton,07860,http://WWW.FRELINGHUYSENSCHOOL.ORG,Yes,PK,06
2023-2024,NJ,Frenchtown Borough School District,NJ-191680,3405700,902 Harrison St.,NA,NA,Frenchtown,08822,http://www.dvrhs.org/FTSD,Yes,PK,08
2023-2024,NJ,Galloway Township Public School District,NJ-011690,3405730,101 S REEDS ROAD,NA,NA,GALLOWAY,08205,http://WWW.GTPS.K12.NJ.US,Yes,PK,08
2023-2024,NJ,Garwood Boro,NJ-391710,3405790,400 Second Avenue,NA,NA,Garwood,07027,http://www.garwoodschools.org,Yes,PK,08
2023-2024,NJ,Gibbsboro Elementary School District,NJ-071720,3405850,37 Kirkwood Rd.,NA,NA,Gibbsboro,08026,http://www.gibbsboroschool.org,Yes,PK,08
2023-2024,NJ,Gloucester Township Public Schools,NJ-071780,3406030,17 Erial Road,NA,NA,Blackwood,08012,http://www.gloucestertownshipschools.org,Yes,PK,08
2023-2024,NJ,Green Township School District,NJ-371800,3406090,69 Mackerley Road,NA,NA,Greendell,07839,http://www.greenhills.org,Yes,PK,08
2023-2024,NJ,Green Brook Township Public School District,NJ-351810,3406120,132 Jefferson Avenue,NA,NA,Green Brook,08812,http://www.gbtps.org,Yes,PK,08
