SCHOOL_YEAR,ST,LEA_NAME,ST_LEAID,LEAID,LSTREET1,LSTREET2,LSTREET3,LCITY,LZIP,WEBSITE,G_PK_OFFERED,GSLO,GSHI
2023-2024,NJ,National Park Boro School District,NJ-153490,3411100,516 Lakehurst Avenue,NA,NA,National Park,08063,http://www.npelem.com,Yes,PK,06
2023-2024,NJ,Neptune City School District,NJ-253500,3411130,210 West Sylvania Ave.,NA,NA,Neptune City,07753,http://www.neptunecityschool.org,Yes,PK,08
2023-2024,NJ,Netcong School District,NJ-273520,3411190,26 College Road,NA,NA,Netcong,07857,http://www.netcongschool.org,Yes,PK,08
2023-2024,NJ,New Hanover Township,NJ-053540,3411250,122 Fort Dix Street,NA,NA,Wrightstown,08562,http://newhanover.k12.nj.us,Yes,PK,08
2023-2024,NJ,North Caldwell School District,NJ-133630,3411520,132A Gould Avenue,NA,NA,North Caldwell,07006,http://www.ncboe.org,Yes,PK,06
2023-2024,NJ,North Haledon School District,NJ-313640,3411550,201 Squaw Brook Rd.,NA,NA,North Haledon,07508,http://www.nhschools.net/nh,Yes,PK,08
2023-2024,NJ,North Hanover Township School District,NJ-053650,3411580,331 Monmouth Road,NA,NA,Wrightstown,08562,http://www.nhanover.com,Yes,PK,06
2023-2024,NJ,North Wildwood School District,NJ-093680,3411670,1201 Atlantic Avenue,NA,NA,North Wildwood,08260,http://www.mmace.com,Yes,PK,08
2023-2024,NJ,Northfield City School District,NJ-013720,3411790,2000 New Road,NA,NA,Northfield,08225,http://www.ncs-nj.org,Yes,PK,08
2023-2024,NJ,Northvale Public School District,NJ-033730,3411820,441 TAPPAN ROAD,NA,NA,NORTHVALE,07647,http://www.NORTHVALESCHOOL.ORG,No,KG,08
2023-2024,NJ,Norwood Public School District,NJ-033740,3411850,177 Summit Street,NA,NA,Norwood,07648,http://www.wearenorwood.org,Yes,PK,08
2023-2024,NJ,Oakland Public School District,NJ-033760,3411910,315 Ramapo Valley Road,NA,NA,Oakland,07436,http://www.oaklandschoolsnj.org,Yes,PK,08
2023-2024,NJ,Ocean Gate School District,NJ-293800,3412030,126 West Arverne Avenue,NA,NA,Ocean Gate,08740,http://www.oceangateschool.net,Yes,PK,06
2023-2024,NJ,Ocean Township School District,NJ-293820,3412090,64 Railroad Avenue,NA,NA,Waretown,08758,http://www.otsdk6.org,Yes,PK,06
2023-2024,NJ,Oceanport School District,NJ-253830,3412120,29 Wolf Hill Avenue,NA,NA,Oceanport,07757,http://oceanportschools.org,Yes,PK,08
2023-2024,NJ,Ogdensburg Borough School District,NJ-373840,3412150,100 Main Street,NA,NA,Ogdensburg,07439,http://www.obboe.org,Yes,PK,08
2023-2024,NJ,Old Tappan Public School District,NJ-033850,3412180,277 Old Tappan Rd.,NA,NA,Old Tappan,07675,http://www.oldtappanschools.org,Yes,PK,08
2023-2024,NJ,Oldmans Township School District,NJ-333860,3412210,10 FREED ROAD,NA,NA,PEDRICKTOWN,08067,http://WWW.OLDMANS.ORG,Yes,PK,08
2023-2024,NJ,Oradell Public School District,NJ-033870,3412240,350 Prospect Avenue,NA,NA,Oradell,07649,http://oradellschool.org,Yes,PK,06
2023-2024,NJ,Oxford Township School District,NJ-413890,3412300,17 Kent Street,NA,NA,Oxford,07863,http://www.oxfordcentral.org,Yes,PK,08
2023-2024,NJ,Long Hill Township School District,NJ-274000,3412660,759 Valley Road,NA,NA,Gillette,07933,http://www.longhill.org,Yes,PK,08
2023-2024,NJ,Pohatcong Township School District,NJ-414200,3413260,240 Route 519,NA,NA,Phillipsburg,08865,http://www.pohatcong.org,Yes,PK,08
2023-2024,NJ,Port Republic School District,NJ-014240,3413380,137 Pomona Avenue,NA,NA,Port Republic,08241,http://www.portnj.org,No,KG,08
2023-2024,NJ,Prospect Park Public School District,NJ-314270,3413470,94 Brown Avenue,NA,NA,Prospect Park,07508,http://www.prospectparknj.com,Yes,PK,08
2023-2024,NJ,Quinton Township School District,NJ-334280,3413500,8 ROBINSON STREET,NA,NA,QUINTON,08072,http://www.quintonschool.info,Yes,PK,08
2023-2024,NJ,Readington Township School District,NJ-194350,3413710,52  Readington Road,NA,NA,Whitehouse Station,08889,http://www.readington.k12.nj.us,Yes,PK,08
2023-2024,NJ,Red Bank Borough Public School District,NJ-254360,3413740,76 Branch Avenue,NA,NA,Red Bank,07701,http://www.rbb.k12.nj.us,Yes,PK,08
2023-2024,NJ,Ringwood School District,NJ-314400,3413860,121 Carletondale Road,NA,NA,Ringwood,07456,http://www.njrps.org,No,KG,08
2023-2024,NJ,River Edge School District,NJ-034410,3413890,410 Bogert Road,NA,NA,River Edge,07661,http://www.riveredgeschools.org,Yes,PK,06
2023-2024,NJ,River Vale Public School District,NJ-034430,3413950,609 Westwood Avenue,NA,NA,River Vale,07675,http://www.rivervaleschools.com,Yes,PK,08
2023-2024,NJ,Riverdale School District,NJ-274440,3413980,52 Newark Pompton Tpk.,NA,NA,Riverdale,07457,http://www.rpsnj.org,Yes,PK,08
2023-2024,NJ,Riverton School District,NJ-054460,3414040,600 Fifth Street,Riverton School,NA,Riverton,08077,http://www.riverton.k12.nj.us,Yes,PK,08
2023-2024,NJ,Rochelle Park School District,NJ-034470,3414070,300 Rochelle Ave,NA,NA,Rochelle Park,07662,http://www.rochellepark.org,Yes,PK,08
2023-2024,NJ,Rockaway Borough School District,NJ-274480,3414100,103 East Main Street,NA,NA,Rockaway,07866,http://www.rockboro.org,Yes,PK,08
2023-2024,NJ,Rockaway Township School District,NJ-274490,3414130,16 School Road,NA,NA,Hibernia,07842,http://www.rocktwp.net,Yes,PK,08
2023-2024,NJ,Roseland School District,NJ-134530,3414250,100 Passaic Avenue,NA,NA,Roseland,07068,http://www.roselandnjboe.org,Yes,PK,06
2023-2024,NJ,Rumson Borough School District,NJ-254570,3414370,60 Forrest Avenue,NA,NA,Rumson,07760,http://www.rumsonschool.org,Yes,PK,08
2023-2024,NJ,Runnemede Public School District,NJ-074590,3414430,24 N. Black Horse Pike - 2nd Floor,NA,NA,Runnemede,08078,http://www.runnemedeschools.org,Yes,PK,08
2023-2024,NJ,Sandyston-Walpack Consolidated School District,NJ-374650,3414610,100 Route 560,NA,NA,Layton,07851,http://www.sandystonwalpack.org,No,KG,06
2023-2024,NJ,Sea Girt Borough School District,NJ-254690,3414730,451 Bell Place,NA,NA,Sea Girt,08750,http://www.seagirt.k12.nj.us,Yes,PK,08
2023-2024,NJ,Seaside Heights School District,NJ-294710,3414790,1200 BAY BLVD,NA,NA,SEASIDE HEIGHTS,08751,http://www.sshschool.org/,Yes,PK,06
2023-2024,NJ,Shamong Township School District,NJ-054740,3414880,295 Indian Mills Road,NA,NA,Shamong,08088,http://www.shamongschools.org,Yes,PK,08
2023-2024,NJ,Shrewsbury Borough School District,NJ-254770,3414970,20 Obre Place,NA,NA,Shrewsbury,07702,http://www.sbs.k12.nj.us/sbs,Yes,PK,08
2023-2024,NJ,Somerdale School District,NJ-074790,3415000,301 Grace Street,NA,NA,Somerdale,08083,http://www.somerdale-park.org,Yes,PK,08
2023-2024,NJ,Somers Point School District,NJ-014800,3415030,121 W. New York Avenue,NA,NA,Somers Point,08244,http://www.sptsd.org,Yes,PK,08
2023-2024,NJ,South Bound Brook Public School District,NJ-354850,3415180,122 Elizabeth Street,NA,NA,South Bound Brook,08880,http://www.southboundbrookk8.org,Yes,PK,08
2023-2024,NJ,South Hackensack School District,NJ-034870,3415240,1 Dyer Avenue,Memorial School,NA,South Hackensack,07606,http://www.shmemorial.org,Yes,PK,08
2023-2024,NJ,South Harrison Township School District,NJ-154880,3415270,904 Mullica Hill Road,NA,NA,Harrisonville,08039,http://www.southharrison.k12.nj.us,Yes,PK,06
2023-2024,NJ,Southampton Township School District,NJ-054930,3415420,Betty L. Wright Administration Building,177 Main Street,NA,Southampton,08088,http://www.southampton.k12.nj.us,Yes,PK,08
2023-2024,NJ,Spring Lake Borough,NJ-254980,3415570,411 Tuttle Avenue,NA,NA,Spring Lake,07762,http://www.hwmountz.k12.nj.us,Yes,PK,08
2023-2024,NJ,Spring Lake Heights School District,NJ-254990,3415600,1110 Highway 71,NA,NA,Spring Lake Heights,07762,http://www.slheights.org,Yes,PK,08
2023-2024,NJ,Springfield Township School District,NJ-055010,3415660,2146 Jacksonville-Jobstown Rd,NA,NA,Jobstown,08041,http://www.springfieldschool.org,Yes,PK,06
2023-2024,NJ,Stafford Township School District,NJ-295020,3415690,250 North Main Street,NA,NA,Manahawkin,08050,http://www.staffordschools.org,Yes,PK,06
2023-2024,NJ,Stanhope School District,NJ-375030,3415720,24 Valley Road,NA,NA,Stanhope,07874,http://www.stanhopeschools.org,Yes,PK,08
2023-2024,NJ,Stillwater Township School District,NJ-375040,3415750,904 Stillwater Road,NA,NA,Stillwater,07875,http://www.stillwaterschool.net,Yes,PK,06
2023-2024,NJ,Stow Creek Township School District,NJ-115070,3415840,11 GUM TREE CORNER ROAD,NA,NA,BRIDGETON,08302,http://www.greenwichstowcreekpartnershipschools.org,Yes,PK,08
2023-2024,NJ,Stratford School District,NJ-075080,3415870,111 Warwick Road,NA,NA,Stratford,08084,http://www.stratford.k12.nj.us,Yes,PK,08
2023-2024,NJ,Sussex-Wantage Regional School District,NJ-375100,3415960,27 Bank Street,NA,NA,Sussex,07461,http://www.swregional.org,Yes,PK,08
2023-2024,NJ,Swedesboro-Woolwich School District,NJ-155120,3415990,15 FREDRICK BLVD,NA,NA,WOOLWICH TWP,08085,http://WWW.SWEDESBORO-WOOLWICH.COM,Yes,PK,06
2023-2024,NJ,Tabernacle Township School District,NJ-055130,3416020,132 New Road,NA,NA,Tabernacle,08088,http://www.tabschools.org,Yes,PK,08
2023-2024,NJ,Tewksbury Township School District,NJ-195180,3416170,173 Old Turnpike Road,NA,NA,Califon,07830,http://www.tewksburyschools.org,Yes,PK,08
2023-2024,NJ,Tinton Falls School District,NJ-255185,3416200,658 Tinton Avenue,NA,NA,Tinton Falls,07724,http://www.tfschools.org,Yes,PK,08
2023-2024,NJ,Totowa Public School District,NJ-315200,3416260,294 Totowa Road,NA,NA,Totowa,07512,http://www.totowa.k12.nj.us,Yes,PK,08
2023-2024,NJ,Tuckerton Borough School District,NJ-295220,3416320,217 Marine Street,NA,NA,Tuckerton,08087,http://www.tesnj.com,Yes,PK,06
2023-2024,NJ,Union Beach Public School District,NJ-255230,3416350,1207 Florence Ave,NA,NA,Union Beach,07735,http://www.unionbeachschools.org,Yes,PK,08
2023-2024,NJ,Union Township School District,NJ-195270,3416440,149 Perryville Road,NA,NA,Hampton,08827,http://www.uniontwpschool.org,Yes,PK,08
2023-2024,NJ,Upper Deerfield Township School District,NJ-115300,3416530,1385 Highway 77,NA,NA,Seabrook,08302,http://www.udts.org,Yes,PK,08
2023-2024,NJ,UPPER PITTSGROVE TWP School District,NJ-335320,3416590,235 Pine Tavern Rd.,NA,NA,Monroeville,08343,http://www.upsnj.org/,Yes,PK,08
2023-2024,NJ,Upper Saddle River School District,NJ-035330,3416620,395 West Saddle River Road,NA,NA,Upper Saddle River,07458,http://www.usrschoolsk8.com,Yes,PK,08
2023-2024,NJ,Upper Township School District,NJ-095340,3416650,525 Perry Road,NA,NA,Petersburg,08270,http://www.upperschools.org,Yes,PK,08
2023-2024,NJ,Ventnor City School District,NJ-015350,3416680,400 N. Lafayette Avenue,NA,NA,Ventnor City,08406,http://www.veccnj.org,Yes,PK,08
2023-2024,NJ,Voorhees Township School District,NJ-075400,3416830,329 Rt. 73,NA,NA,Voorhees,08043,http://www.voorhees.k12.nj.us,Yes,PK,08
2023-2024,NJ,Wanaque School District,NJ-315440,3416950,973A Ringwood Avenue,NA,NA,Haskell,07420,http://www.wanaqueps.org,Yes,PK,08
2023-2024,NJ,Warren Township School District,NJ-355470,3416980,213 Mt. Horeb Road,NA,NA,Warren,07059,http://www.warrentboe.org,Yes,PK,08
2023-2024,NJ,Washington Borough School District,NJ-415480,3417010,300 West Stewart Street,NA,NA,Washington,07882,http://www.washboroschools.org,Yes,PK,06
2023-2024,NJ,Washington Township School District,NJ-275520,3417130,53 West Mill Road,NA,NA,Long Valley,07853,http://www.wtschools.org,Yes,PK,08
2023-2024,NJ,Washington Township School District,NJ-415530,3417160,1 East Front St.,NA,NA,Washington,07882,http://www.washtwpsd.org,Yes,PK,06
2023-2024,NJ,Watchung Borough School District,NJ-355540,3417190,1 Dr. Parenty Way,NA,NA,Watchung,07069,http://www.watchungschools.com,Yes,PK,08
2023-2024,NJ,Waterford Township School District,NJ-075560,3417250,1106 Old White Horse Pike,NA,NA,Waterford,08089,http://www.wtsd.org,Yes,PK,06
2023-2024,NJ,Wenonah  Boro School District,NJ-155590,3417340,200 N. Clinton Avenue,NA,NA,Wenonah,08090,http://www.wenonahsd.org,Yes,PK,06
2023-2024,NJ,West Cape May School District,NJ-095610,3417400,301 MOORE STREET,NA,NA,WEST CAPE MAY,08204,http://wcmschool.net,Yes,PK,06
2023-2024,NJ,West Long Branch School District,NJ-255640,3417490,135 Locust Avenue,NA,NA,West Long Branch,07764,http://www.wlbschools.com,Yes,PK,08
2023-2024,NJ,Woodland Park School District,NJ-315690,3417640,853 McBride Avenue,NA,NA,Woodland Park,07424,http://www.wpschools.org,Yes,PK,08
2023-2024,NJ,Westampton Township Public School District,NJ-055720,3417730,700 Rancocas Road,NA,NA,Westampton,08060,http://www.westamptonschools.org,Yes,PK,08
2023-2024,NJ,Westville Boro Public School District,NJ-155740,3417790,101 Birch Street,NA,NA,Westville,08093,http://www.westvillesd.com,Yes,PK,06
2023-2024,NJ,Weymouth Township School District,NJ-015760,3417850,1202 Eleventh Avenue,NA,NA,Dorothy,08317,http://www.weymouthtownshipschool.com,Yes,PK,08
2023-2024,NJ,Wharton Borough School District,NJ-275770,3417880,137 EAST CENTRAL AVENUE,NA,NA,WHARTON,07885,http://www.wbps.org,Yes,PK,08
2023-2024,NJ,White Township Consolidated School District,NJ-415780,3417910,565 CR 519,NA,NA,Belvidere,07823,http://www.whitetwpsd.org,Yes,PK,08
2023-2024,NJ,Wildwood Crest Borough School District,NJ-095800,3417970,9100 PACIFIC AVENUE,NA,NA,WILDWOOD CREST,08260,http://WWW.CRESTMEM.EDU,Yes,PK,08
2023-2024,NJ,Winfield Township,NJ-395810,3418030,7 1/2 Gulfstream Avenue,NA,NA,Winfield Twp,07036,http://www.winfieldschool.org,Yes,PK,08
2023-2024,NJ,Woodbine School District,NJ-095840,3418090,801 Webster St.,NA,NA,Woodbine,08270,http://woodbineschool.com,Yes,PK,08
2023-2024,NJ,Woodbury Heights Public School District,NJ-155870,3418180,100 Academy Avenue,NA,NA,Woodbury Heights,08097,http://www.woodburyhtselem.com,Yes,PK,06
2023-2024,NJ,Woodcliff Lake School District,NJ-035880,3418210,134 Woodcliff Avenue,NA,NA,Woodcliff Lake,07677,http://www.woodcliff-lake.com,Yes,PK,08
2023-2024,NJ,Woodland Township School District,NJ-055890,3418240,2 John Bowker Jr. Blvd.,NA,NA,Chatsworth,08019,http://www.woodlandboe.org,Yes,PK,08
2023-2024,NJ,Woodlynne School District,NJ-075900,3418270,131 Elm Avenue,NA,NA,Woodlynne,08107,http://www.woodlynne.k12.nj.us,Yes,PK,08
2023-2024,NJ,Wyckoff Township Public School District,NJ-035920,3418360,241 Morse Avenue,NA,NA,Wyckoff,07481,http://www.wyckoffps.org,Yes,PK,08
