district_name,ST_LEAID,per_pupil_cost,per_pupil_class_instruction,per_pupil_admin_cost
West New York Town,NJ-175670,21585,12307,1651
Alexandria Twp,NJ-190020,22450,13186,1945
Bethlehem Twp,NJ-190370,22681,11689,2354
Bloomsbury Boro,NJ-190430,30019,19106,2145
Califon Boro,NJ-190670,33356,21956,1932
Clinton-Glen Gardner,NJ-190910,23005,13852,2232
Clinton Twp,NJ-190920,25583,13453,2258
Delaware Twp,NJ-191040,24772,14584,1963
Delaware Valley Regional,NJ-191050,25524,11251,2544
East Amwell Twp,NJ-191160,26472,15882,2538
South Hunterdon Regional School District,NJ-191376,28798,16344,2437
Flemington-Raritan Reg,NJ-191510,19974,12436,2390
Franklin Twp,NJ-191600,28351,13142,2443
Frenchtown Boro,NJ-191680,27516,15949,2411
Hampton Boro,NJ-191970,27699,13174,2056
High Bridge Boro,NJ-192140,29137,16143,2107
Holland Twp,NJ-192220,24081,13746,1951
Hunterdon Central Reg,NJ-192300,25681,13949,2005
Hunterdon Co Vocational,NJ-192308,11189,6829,2012
Kingwood Twp,NJ-192450,22387,13246,1488
Lebanon Boro,NJ-192590,30253,16315,2833
Lebanon Twp,NJ-192600,25554,15420,2412
Milford Boro,NJ-193180,32102,15699,2117
North Hunterdon-Voorhees Regional,NJ-193660,28295,14142,3042
Readington Twp,NJ-194350,24988,14394,2631
Tewksbury Twp,NJ-195180,28669,15997,2175
Union Twp,NJ-195270,20897,11378,1802
East Windsor Regional,NJ-211245,19941,11754,1910
Ewing Twp,NJ-211430,21269,12389,2228
Hamilton Twp,NJ-211950,16446,9557,1854
Hopewell Valley Regional,NJ-212280,24817,14925,2168
Lawrence Twp,NJ-212580,20199,11651,1895
Mercer Co Special Services School District,NJ-213103,90565,51087,8606
Mercer County Vocational,NJ-213105,17926,7742,3397
Princeton,NJ-214255,24416,14661,2232
Trenton Public School District,NJ-215210,21261,11153,2091
Robbinsville Twp,NJ-215510,16452,9128,1871
W Windsor-Plainsboro Reg,NJ-215715,19882,11598,2002
Carteret Boro,NJ-230750,19577,12895,1482
Cranbury Twp,NJ-230970,30022,17380,2741
Dunellen Boro,NJ-231140,18767,10100,2439
East Brunswick Twp,NJ-231170,18999,10794,1977
Edison Twp,NJ-231290,15500,9703,1550
Highland Park Boro,NJ-232150,22310,12058,2436
Jamesburg Boro,NJ-232370,19666,11715,2377
Metuchen Boro,NJ-233120,18999,11620,1927
Middlesex Boro,NJ-233140,18915,10658,2545
Middlesex Co Vocational,NJ-233150,18852,8528,3441
Milltown Boro,NJ-233220,19156,10781,2443
Monroe Twp,NJ-233290,18029,10956,1686
New Brunswick City,NJ-233530,24359,13866,2282
North Brunswick Twp,NJ-233620,20226,12009,1931
Old Bridge Twp,NJ-233845,18113,11483,1539
Perth Amboy City,NJ-234090,22424,13926,2096
Piscataway Twp,NJ-234130,17889,10177,1828
Sayreville Boro,NJ-234660,17835,10489,2145
South Amboy City,NJ-234830,15013,8290,2315
South Brunswick Twp,NJ-234860,17277,10301,1909
South Plainfield Boro,NJ-234910,18212,10942,2282
South River Boro,NJ-234920,18410,10433,1885
Spotswood Boro,NJ-234970,18797,10192,2099
Woodbridge Twp,NJ-235850,19637,12311,2041
Asbury Park City,NJ-250100,37192,20145,2602
Avon Boro,NJ-250180,32945,18509,2666
Belmar Boro,NJ-250270,23526,13709,2623
Bradley Beach Boro,NJ-250500,30488,17906,2715
Brielle Boro,NJ-250560,22564,12701,2186
Colts Neck Twp,NJ-250945,27814,15149,2753
Deal Boro,NJ-251000,30313,17098,2511
Eatontown Boro,NJ-251260,22564,13674,2278
Fair Haven Boro,NJ-251440,18297,12040,1569
Henry Hudson Regional,NJ-251456,26931,15135,2825
Farmingdale Boro,NJ-251490,21386,13650,1566
Freehold Boro,NJ-251640,21617,13588,2436
Freehold Regional,NJ-251650,16297,9381,1704
Freehold Twp,NJ-251660,22765,13173,2438
Hazlet Twp,NJ-252105,20001,11243,2086
Holmdel Twp,NJ-252230,20865,12232,1609
Howell Twp,NJ-252290,19765,11597,2171
Keansburg Boro,NJ-252400,21978,12000,2123
Keyport Boro,NJ-252430,21659,12845,2443
Little Silver Boro,NJ-252720,23157,13356,2513
Long Branch City,NJ-252770,21803,12400,2061
Manalapan-Englishtown Reg,NJ-252920,17427,9865,1956
Manasquan Boro,NJ-252930,21798,12119,2236
Marlboro Twp,NJ-253030,19864,11580,2070
Matawan-Aberdeen Regional,NJ-253040,19505,11294,2251
Middletown Twp,NJ-253160,18697,11737,1652
Millstone Twp,NJ-253200,22261,12822,2309
Monmouth Beach Boro,NJ-253250,25503,15614,3023
Monmouth Co Vocational,NJ-253260,21805,12685,3322
Monmouth Regional,NJ-253270,26649,14150,2304
Neptune City,NJ-253500,22347,12451,2077
Neptune Twp,NJ-253510,21988,12721,2036
Ocean Twp,NJ-253810,24192,14024,2249
