DistrictName,ST_LEAID,SchoolYear,mSGP_ELA,mSGP_Math,mSGP_ELA Grade 4,mSGP_ELA Grade 5,mSGP_ELA Grade 6,mSGP_ELA Grade 7,mSGP_ELA Grade 8,mSGP_Math Grade 4,mSGP_Math Grade 5,mSGP_Math Grade 6,mSGP_Math Grade 7,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,ELA_ME_Grade 03,ELA_ME_Grade 04,ELA_ME_Grade 05,ELA_ME_Grade 06,ELA_ME_Grade 07,ELA_ME_Grade 08,ELA_ME_Grade 09,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_ME_Algebra I,MATH_ME_Grade 03,MATH_ME_Grade 04,MATH_ME_Grade 05,MATH_ME_Grade 06,MATH_ME_Grade 07,MATH_ME_Grade 08,MATH_ME_Algebra II,MATH_ME_Geometry,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_School,TeacherAvgYearsExp_School,TeacherAvgYearsExpInDistrict_School,PercentageTeacherInDistrict4YearsOrMore_School,PercentageOfOutOfFieldTeachers,PercentageTeachersWithProvisionalCredentials_School,Chronic_Abs_Count,Chronic_Abs_Pct,Students with Disabilities,Economically Disadvantaged Students,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment
Gloucester City Public School District,NJ-071770,2023-24,52.0,52.0,27,43,66,48.5,81.5,27.5,34.5,74,66.5,40.2,12.7,47.3,NA,NA,NA,NA,NA,NA,NA,0.07668219944082014,19.3,<10%,22.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011663568773234202,0.012089743589743589,15:1,106:1,168,13.9,12.6,72.6,5.4,3.0,499,22.9,20.2,39.4,250,161,172,156,152,163,164,168,171,158,168,219,178,159,2439
Gloucester Township Public Schools,NJ-071780,2023-24,48.0,46.0,44,50,42,52,50,37,50,45,50,42.8,14.0,49.1,NA,NA,NA,NA,NA,NA,NA,0.07915254237288136,34.0,12.8,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03534687809712587,0.037590361445783135,12:1,178:1,545,14.0,13.4,78.0,0.9,6.6,787,12.7,17.8,41.8,438,648,659,679,623,661,681,689,763,711,0,0,0,0,6552
"KIPP: Cooper Norcross, A New Jersey Nonprofit Corporation",NJ-071799,2023-24,55.0,69.0,44,45,55,74,46,64.5,48,71,82,22.1,<10%,25.1,NA,NA,NA,NA,NA,NA,NA,0.029531129900076867,22.2,10.7,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01640769230769231,0.014108280254777072,17:1,N,130,7.0,3.0,36.9,1.5,6.9,1016,45.5,18.9,93.0,0,175,165,161,174,180,195,216,213,219,179,111,119,136,2243
"Camden Prep, Inc.",NJ-071801,2023-24,53.0,49.0,52,36,67,55.5,57.5,51.5,30,42.5,71,32.5,15.1,36.1,NA,NA,NA,NA,NA,NA,NA,0.03263157894736842,20.3,<10%,22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007108013937282231,0.006726726726726727,38:1,115:1,36,4.6,3.3,38.9,11.1,16.7,616,50.2,7.1,59.5,0,105,118,102,118,141,157,152,126,88,111,58,54,46,1376
"Mastery Schools of Camden, Inc.",NJ-071802,2023-24,58.0,53.0,51,53,70,60,60.5,54,49,58,52,23.6,<10%,28.4,NA,NA,NA,NA,NA,NA,NA,0.03041720990873533,16.7,<10%,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008407643312101911,0.011478260869565219,14:1,345:1,204,9.0,4.5,62.7,3.4,14.7,606,22.0,19.7,96.8,0,212,223,238,214,237,241,221,238,185,213,210,162,162,2756
Haddon Heights School District,NJ-071880,2023-24,49.0,56.0,62.5,52,56,40,39.5,74,52,64,43,62.2,21.4,72.4,NA,NA,NA,NA,NA,NA,NA,0.18318568994889267,49.2,19.8,56.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06565587734241908,0.10286982248520708,11:1,112:1,135,13.7,9.4,72.6,2.2,3.7,94,6.5,20.3,14.0,9,76,72,67,61,71,86,70,64,74,182,199,213,206,1450
Haddon Township School District,NJ-071890,2023-24,50.0,57.0,59.5,44,40,45.5,56,58,67,42.5,54,61.9,24.9,71.3,NA,NA,NA,NA,NA,NA,NA,0.16199214916584886,54.2,24.0,61.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10392961876832846,0.14307586206896553,13:1,138:1,164,14.7,10.3,67.7,2.4,0,168,8.4,18.1,12.6,101,151,148,173,162,151,140,143,134,139,158,161,159,148,2068
Haddonfield School District,NJ-071900,2023-24,66.0,47.0,72,68.5,41,48,88,46,65.5,32.5,47,84.4,46.3,91.1,NA,NA,NA,NA,NA,NA,NA,0.39632764505119455,74.8,34.4,81.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14784005468215994,0.17553483807654563,13:1,277:1,210,11.8,10.9,75.2,1.4,2.4,121,4.5,15.6,1.9,72,153,217,207,217,200,204,205,223,196,232,189,219,233,2767
Laurel Springs School District,NJ-072540,2023-24,72.0,50.5,85,60,68,NA,NA,39,58,59.5,NA,63.9,30.0,72.7,NA,NA,NA,NA,NA,NA,NA,0.19677083333333334,50.5,<10%,63.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11255102040816328,0.11255102040816328,10:1,37:1,18,17.6,13.7,88.9,16.7,5.3,26,15.1,21.9,27.3,15,22,20,26,21,29,27,23,0,0,0,0,0,0,183
Lawnside School District,NJ-072560,2023-24,47.5,50.0,47,27.5,49,50,52,68,66,21.5,41,26.2,<10%,33.1,NA,NA,NA,NA,NA,NA,NA,0.045392156862745094,13.0,<10%,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10:1,57:1,36,7.7,4.6,36.1,2.8,41.7,63,21.3,17.3,56.4,49,34,36,22,25,50,31,30,29,36,0,0,0,0,342
Lindenwold Public School District,NJ-072670,2023-24,42.0,40.0,44,31,60,37,38.5,50,22.5,41.5,46,18.7,<10%,21.4,NA,NA,NA,NA,NA,NA,NA,0.02148005148005148,10.0,<10%,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004450127877237852,0.006186666666666667,12:1,133:1,271,11.4,7.9,59.4,1.1,18.1,560,19.3,15.7,75.7,277,232,268,283,236,240,230,225,214,225,247,204,173,135,3189
Magnolia School District,NJ-072890,2023-24,58.0,48.0,17.5,36,69,91,49.5,29.5,38,40,84,50.6,17.1,57.4,NA,NA,NA,NA,NA,NA,NA,0.11329268292682927,23.8,14.6,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007131147540983608,0.008700000000000001,10:1,83:1,41,10.7,9.4,70.7,2.4,22.0,42,11.1,15.7,38.5,34,45,35,44,47,35,40,46,33,50,0,0,0,0,410
Merchantville School District,NJ-073110,2023-24,52.0,41.5,51,63,55,38,50,29,40,45,51,47.3,17.8,54.0,NA,NA,NA,NA,NA,NA,NA,0.08326612903225808,32.9,15.2,36.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02043478260869565,0.02534313725490196,11:1,202:1,36,11.2,7.6,80.6,5.6,0,57,15.1,18.6,38.5,30,43,32,44,41,34,43,45,42,49,0,0,0,0,403
Mt. Ephraim School District,NJ-073420,2023-24,46.0,46.0,35,58,58.5,39,37,45.5,58,47.5,39,53.8,22.0,60.0,NA,NA,NA,NA,NA,NA,NA,0.11595238095238095,34.8,<10%,40.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049960937500000004,0.060330188679245285,10:1,111:1,43,15.4,11.2,65.1,0,9.3,53,13.8,15.6,40.0,54,36,58,30,37,46,45,47,39,45,0,0,0,0,437
Oaklyn Public School District,NJ-073770,2023-24,47.0,45.0,42.5,54,NA,NA,NA,39.5,56,NA,NA,57.1,22.2,64.4,NA,NA,NA,NA,NA,NA,NA,0.08457142857142858,29.5,<10%,34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009714285714285715,0.009714285714285715,8:1,67:1,33,11.6,10.2,72.7,0,12.1,27,12.6,16.5,26.2,55,29,32,42,32,42,35,0,0,0,0,0,0,0,267
Pennsauken Township Board of Education School District,NJ-074060,2023-24,41.0,44.0,37,43,36,43,41.5,42,50,36.5,43,28.8,<10%,35.1,NA,NA,NA,NA,NA,NA,NA,0.06075471698113208,22.4,<10%,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02547707558859975,0.03425570228091236,12:1,175:1,397,13.9,12.4,74.8,1.8,7.8,1018,21.9,22.0,66.3,236,310,340,353,322,352,342,347,350,356,406,394,433,366,4907
Pine Hill School District,NJ-074110,2023-24,47.0,45.0,33.5,40.5,55,56,46,52,43,46.5,38,33.2,<10%,40.8,NA,NA,NA,NA,NA,NA,NA,0.055637663885578066,16.1,<10%,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005265643447461629,0.00861003861003861,12:1,132:1,170,11.7,11.3,75.7,0.6,17.5,437,23.1,19.0,63.7,108,128,125,113,104,120,94,103,111,135,225,201,217,196,1980
Runnemede Public School District,NJ-074590,2023-24,53.0,44.0,38,32.5,57.5,75,54,41,32.5,52,48,48.4,13.5,56.8,NA,NA,NA,NA,NA,NA,NA,0.09511627906976744,28.9,12.4,32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017932489451476793,0.019230769230769232,11:1,144:1,80,10.6,10.4,77.5,0,6.3,122,16.4,19.0,32.7,114,94,79,77,91,69,73,78,96,90,0,0,0,0,862
Somerdale School District,NJ-074790,2023-24,47.0,40.5,39,35.5,35.5,52,61.5,39,22,58,48,34.5,<10%,41.3,NA,NA,NA,NA,NA,NA,NA,0.056491228070175446,28.2,<10%,33.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022526315789473682,0.028789237668161435,10:1,115:1,45,14.9,13.5,86.7,0,4.4,19,4.4,19.8,40.0,30,55,56,33,52,30,50,38,56,60,0,0,0,0,460
Stratford School District,NJ-075080,2023-24,39.0,40.0,36,37,57,39.5,30.5,50,48,19,38,50.2,21.3,60.5,NA,NA,NA,NA,NA,NA,NA,0.1175798319327731,32.4,17.4,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03476666666666667,0.03971887550200803,10:1,126:1,84,12.2,11.8,70.2,10.7,15.5,65,7.7,28.9,35.6,41,72,76,86,90,98,95,94,125,103,0,0,0,0,880
Voorhees Township School District,NJ-075400,2023-24,53.0,50.0,51,59,49,51,59,54,51,44,51,70.2,29.7,79.4,NA,NA,NA,NA,NA,NA,NA,0.22311770943796394,57.8,28.5,64.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15975763962065334,0.1706125,12:1,155:1,258,13.4,11.7,69.0,3.5,4.7,318,10.9,18.8,12.3,215,297,320,349,312,333,315,327,332,306,0,0,0,0,3106
Waterford Township School District,NJ-075560,2023-24,61.0,62.5,44,57.5,79,NA,NA,52.5,73,62,NA,46.8,<10%,56.0,NA,NA,NA,NA,NA,NA,NA,0.07217864923747278,40.9,<10%,48.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04148148148148148,0.04148148148148148,10:1,115:1,94,10.8,10.6,77.7,0,5.3,74,9.6,19.7,28.8,149,105,109,92,106,112,111,131,0,0,0,0,0,0,915
Winslow Township School District,NJ-075820,2023-24,34.0,44.0,27,29,41,34,39,36,48,53,37,31.3,12.4,37.4,NA,NA,NA,NA,NA,NA,NA,0.06255905511811023,21.5,12.9,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01438630999213218,0.019907457811649428,11:1,169:1,442,11.2,11.2,73.7,0.2,7.5,554,11.8,23.0,53.9,283,325,357,368,389,340,385,381,403,408,354,333,286,297,4909
Woodlynne School District,NJ-075900,2023-24,52.0,45.0,49,50,43.5,74,51,50,28,52,51,38.4,<10%,44.4,NA,NA,NA,NA,NA,NA,NA,0.06411764705882353,24.7,12.2,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0269672131147541,0.03306532663316583,10:1,143:1,42,11.0,7.7,58.1,7.1,9.5,41,10.8,14.4,86.5,43,60,28,48,36,48,39,40,38,47,0,0,0,0,430
Avalon School District,NJ-090170,2023-24,62.0,49.0,NA,62,53,83,59,NA,47,52.5,48,78.8,*,81.4,NA,NA,NA,NA,NA,NA,NA,0.31833333333333336,57.6,*,59.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05436363636363637,0.05436363636363637,7:1,31:1,13,11.8,10.6,84.6,15.4,7.7,9,13.2,9.6,0.0,26,0,0,0,0,0,23,18,16,11,0,0,0,0,94
Cape May City School District,NJ-090710,2023-24,63.0,67.0,59,*,*,NA,NA,88,*,*,NA,49.1,26.3,61.8,NA,NA,NA,NA,NA,NA,NA,0.10909090909090909,45.3,21.1,58.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017454545454545455,0.017454545454545455,6:1,51:1,26,5.9,4.7,14.3,3.8,0,6,5.3,15.6,43.5,44,22,17,21,15,14,10,11,0,0,0,0,0,0,154
Dennis Township School District,NJ-091080,2023-24,46.0,42.5,46,25,30,60,69,45.5,41.5,27,50.5,36.3,19.5,41.6,NA,NA,NA,NA,NA,NA,NA,0.059661016949152545,33.0,21.8,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023305084745762712,0.025086505190311418,12:1,160:1,53,12.0,10.9,75.5,1.9,17.0,68,12.3,20.0,29.2,93,54,48,81,60,51,67,54,65,68,0,0,0,0,641
Lower Cape May Regional School District,NJ-092820,2023-24,41.0,33.0,NA,NA,NA,52,36,NA,NA,NA,32,44.8,17.5,50.7,NA,NA,NA,NA,NA,NA,NA,0.11629370629370629,30.0,<10%,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01970779220779221,0.04,11:1,100:1,103,16.4,16.1,89.3,9.7,5.8,150,13.2,21.0,40.2,0,0,0,0,0,0,0,0,189,214,184,177,174,167,1105
Lower Township Elementary School District,NJ-092840,2023-24,43.5,49.0,49,33,50,NA,NA,48.5,40,55,NA,31.3,<10%,39.0,NA,NA,NA,NA,NA,NA,NA,0.06995626822157434,30.1,<10%,37.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0441944847605225,0.0441944847605225,11:1,160:1,130,12.2,12.2,83.1,2.3,13.8,158,13.3,21.2,45.7,252,150,171,167,183,175,158,180,0,0,0,0,0,0,1436
Middle Township Public School District,NJ-093130,2023-24,41.0,50.0,55,50,45,38,24,56,59,40,50.5,34.7,<10%,41.6,NA,NA,NA,NA,NA,NA,NA,0.052843894899536316,27.8,<10%,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02586286594761171,0.0317440543601359,11:1,170:1,222,11.6,10.9,67.6,3.6,0.5,357,14.5,16.9,48.0,177,165,172,166,165,191,176,177,180,187,228,173,202,194,2553
North Wildwood School District,NJ-093680,2023-24,39.0,56.0,25,37,48,20,49,52,35,81,69,32.4,17.2,38.2,NA,NA,NA,NA,NA,NA,NA,NA,38.5,17.2,46.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03866666666666666,0.03344444444444444,5:1,42:1,31,22.5,20.5,93.5,0,3.2,45,29.4,25.9,41.0,18,11,13,15,20,24,14,19,17,15,0,0,0,0,166
Ocean City School District,NJ-093780,2023-24,50.0,44.5,53,43,42.5,47,62.5,66.5,25,45.5,40.5,67.4,33.3,72.5,NA,NA,NA,NA,NA,NA,NA,0.2344331395348837,47.2,24.4,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06242774566473989,0.12161094224924011,10:1,167:1,187,16.0,13.0,83.9,1.1,4.3,250,14.1,11.9,16.5,70,51,55,58,70,62,64,75,65,85,283,293,281,320,1832
Stone Harbor School District,NJ-095060,2023-24,50.0,51.0,50,NA,NA,NA,NA,51,NA,NA,NA,64.5,*,57.7,NA,NA,NA,NA,NA,NA,NA,0.06838709677419355,38.7,*,34.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06387096774193549,0.06387096774193549,7:1,26:1,11,11.8,5.6,45.5,9.1,0,5,6.4,14.3,0.0,0,15,15,17,17,13,0,0,0,0,0,0,0,0,77
Upper Township School District,NJ-095340,2023-24,40.0,47.0,47.5,44,48.5,36,25,67,45,34,37,60.8,28.3,67.8,NA,NA,NA,NA,NA,NA,NA,0.16755244755244758,50.0,20.4,56.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07132712456344587,0.08666195190947666,12:1,153:1,117,10.4,10.0,75.2,0,0,218,16.5,18.6,13.6,55,138,137,156,154,167,125,147,142,153,0,0,0,0,1374
West Cape May School District,NJ-095610,2023-24,61.0,67.0,70,56,*,NA,NA,72,91,*,NA,71.4,*,79.4,NA,NA,NA,NA,NA,NA,NA,NA,61.9,*,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14200000000000002,0.14200000000000002,8:1,83:1,10,11.1,9.3,80.0,0,0,2,2.4,16.9,19.3,2,13,9,17,11,11,12,8,0,0,0,0,0,0,83
Wildwood City School District,NJ-095790,2023-24,43.0,41.0,38,45,42,35.5,53,36,52,37,42,15.9,<10%,19.6,NA,NA,NA,NA,NA,NA,NA,NA,11.1,<10%,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10:1,96:1,77,14.5,14.5,93.5,9.1,9.1,157,22.5,21.1,79.6,68,55,38,54,49,49,55,49,44,55,73,53,61,61,764
Wildwood Crest Borough School District,NJ-095800,2023-24,38.0,33.0,66.5,53.5,25,20,32,21.5,42.5,30.5,37,37.5,16.7,45.0,NA,NA,NA,NA,NA,NA,NA,NA,43.4,25.0,50.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049637681159420285,0.060087719298245613,6:1,55:1,36,17.4,14.3,83.3,0,0,20,10.2,20.9,28.2,30,18,13,18,22,21,30,23,20,25,0,0,0,0,220
Woodbine School District,NJ-095840,2023-24,35.0,33.0,28,51,30,37,18,33,34,37,33,22.0,11.1,28.8,NA,NA,NA,NA,NA,NA,NA,NA,14.5,13.6,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008928571428571428,0.010638297872340425,9:1,129:1,30,12.5,8.7,66.7,16.7,12.9,76,36.4,30.0,77.4,51,28,34,22,14,19,22,26,23,18,0,0,0,0,257
Bridgeton City School District,NJ-110540,2023-24,41.0,47.0,34.5,38,43,47,42,36,48.5,52,48,12.5,<10%,13.7,NA,NA,NA,NA,NA,NA,NA,NA,<10%,<10%,<10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,14:1,168:1,459,12.1,10.2,56.1,2.2,9.3,1348,24.6,9.5,79.7,694,411,417,400,423,426,416,437,449,460,496,421,395,353,6198
Commercial Township School District,NJ-110950,2023-24,57.0,51.0,41.5,66,50,71.5,59.5,76.5,47.5,46,50,27.2,<10%,34.4,NA,NA,NA,NA,NA,NA,NA,0.026615384615384614,13.6,<10%,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,11:1,157:1,42,13.9,13.1,80.0,9.5,2.4,93,24.7,11.9,68.8,103,53,32,23,39,40,46,49,41,45,0,0,0,0,471
Deerfield Township School District,NJ-111020,2023-24,35.0,38.0,43.5,21.5,31,51,30.5,29.5,24,39,60,25.7,<10%,32.0,NA,NA,NA,NA,NA,NA,NA,0.026205128205128207,27.9,<10%,34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04815384615384616,0.0601923076923077,10:1,82:1,34,13.8,10.1,73.5,0,5.9,41,14.7,22.4,54.6,46,30,27,30,26,28,28,36,35,40,0,0,0,0,326
Downe Township School District,NJ-111120,2023-24,48.0,46.5,60.5,45,65,55,38,58,52,26,55,22.0,<10%,28.4,NA,NA,NA,NA,NA,NA,NA,0.04,16.0,<10%,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0096,0.012151898734177215,10:1,88:1,18,5.3,3.5,38.9,0,16.7,30,19.6,29.7,51.4,25,17,16,16,18,16,18,13,14,22,0,0,0,0,175
Fairfield Township School District,NJ-111460,2023-24,36.5,41.5,38,26,39,25,47,33.5,29,68.5,39.5,11.1,<10%,12.2,NA,NA,NA,NA,NA,NA,NA,NA,<10%,<10%,<10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,12:1,129:1,42,11.7,9.8,71.4,4.8,0,82,18.7,11.1,68.5,72,49,53,44,38,49,48,49,54,59,0,0,0,0,515
Greenwich Township School District,NJ-111820,2023-24,50.0,59.5,*,*,*,*,*,*,*,*,*,53.5,*,65.7,NA,NA,NA,NA,NA,NA,NA,NA,41.9,*,51.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16:1,79:1,5,23.6,22.2,100.0,20.0,0,6,8.5,16.5,46.8,5,11,10,7,7,9,8,6,8,6,0,0,0,0,77
Hopewell Township School District,NJ-112270,2023-24,52.0,65.0,33,33.5,73.5,65,51,39,68.5,83,74,41.3,<10%,51.7,NA,NA,NA,NA,NA,NA,NA,0.0820265780730897,36.1,<10%,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022466666666666666,0.02762295081967213,12:1,130:1,44,12.5,9.8,70.5,2.3,6.8,73,16.6,18.7,50.5,73,48,43,49,37,62,46,48,54,59,0,0,0,0,519
Lawrence Township School District,NJ-112570,2023-24,50.5,47.5,45,71.5,37,59,46,48,44,37,55.5,43.0,<10%,55.5,NA,NA,NA,NA,NA,NA,NA,0.0833993399339934,30.6,<10%,39.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04267326732673267,0.0453305785123967,12:1,166:1,43,15.5,12.3,86.0,2.3,7.0,62,14.2,22.7,39.0,57,53,36,39,41,47,59,52,47,61,0,0,0,0,492
Maurice River Township School District,NJ-113050,2023-24,45.0,41.5,58,43.5,44,46,35,49,43.5,34,40.5,37.8,12.9,46.4,NA,NA,NA,NA,NA,NA,NA,0.06112033195020747,31.5,14.5,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04053941908713694,0.051151832460732995,10:1,96:1,37,11.5,8.6,51.4,13.5,0,82,24.0,22.6,39.7,47,38,33,27,41,42,29,37,41,50,0,0,0,0,385
Millville School District,NJ-113230,2023-24,41.0,43.5,35,32,40.5,48,50,42,49,36,45,18.0,<10%,23.2,NA,NA,NA,NA,NA,NA,NA,0.018069533394327538,17.2,<10%,22.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014870490286771511,0.021855880353501025,12:1,141:1,428,10.0,8.0,64.6,4.2,4.7,1287,29.7,22.2,75.1,624,325,310,296,291,315,277,329,317,350,440,398,428,346,5046
Stow Creek Township School District,NJ-115070,2023-24,59.0,64.0,59.5,*,82,55,56,67,*,85,39,73.0,10.0,82.8,NA,NA,NA,NA,NA,NA,NA,NA,45.2,10.0,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12225,0.12225,11:1,67:1,12,12.8,9.9,75.0,8.3,0,13,11.4,11.2,32.8,21,16,10,14,9,16,8,14,11,15,0,0,0,0,134
Upper Deerfield Township School District,NJ-115300,2023-24,51.0,52.0,47.5,53,51.5,41.5,64,53,46.5,58,51,30.2,16.1,36.2,NA,NA,NA,NA,NA,NA,NA,0.04459244532803181,20.3,13.4,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0057539682539682535,0.004,11:1,134:1,87,15.3,12.6,77.0,5.7,2.3,164,20.6,27.3,57.0,142,95,82,98,98,87,80,86,80,87,0,0,0,0,935
Vineland Public School District,NJ-115390,2023-24,39.0,43.0,40,49,31,33.5,42,40,55.5,33,43,27.9,10.4,32.9,NA,NA,NA,NA,NA,NA,NA,0.03328852119958635,19.2,<10%,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015453614581200084,0.021542506573181422,15:1,202:1,699,14.9,14.9,80.0,4.9,2.1,2786,30.3,20.4,61.0,1096,654,705,674,657,684,758,740,756,818,676,738,676,655,10287
Belleville Public School District,NJ-130250,2023-24,44.0,43.0,54.5,41,61,38,31,46,34,55,35,40.3,10.9,47.1,NA,NA,NA,NA,NA,NA,NA,0.09183836589698045,18.8,<10%,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01373026034997866,0.019736196319018406,13:1,127:1,405,10.2,10.2,65.4,0.7,14.6,892,19.3,18.2,63.6,546,307,333,316,325,293,364,333,368,350,358,439,419,383,5134
Bloomfield Township School District,NJ-130410,2023-24,49.0,49.0,52,46,54,40.5,48,47,41,62,39,55.4,21.8,61.6,NA,NA,NA,NA,NA,NA,NA,0.17153256704980843,36.7,16.5,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05103654694391935,0.06245283018867925,12:1,161:1,558,11.7,11.3,77.1,0.9,2.7,944,15.0,17.1,41.0,210,468,465,464,481,430,456,482,448,495,489,542,538,477,6445
Caldwell-West School District,NJ-130660,2023-24,47.5,51.5,54,43.5,38,75,25,58.5,52,29.5,64,65.8,27.6,73.6,NA,NA,NA,NA,NA,NA,NA,0.1905184072126221,58.2,24.8,65.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07817436661698957,0.09020491803278688,11:1,141:1,233,10.7,10.7,68.7,0.9,3.9,203,7.9,16.3,9.4,46,175,205,192,172,208,204,197,203,180,176,181,212,194,2545
Cedar Grove Township School District,NJ-130760,2023-24,41.5,61.0,52,22,45,49,32.5,68,41,50,67,65.6,27.7,73.8,NA,NA,NA,NA,NA,NA,NA,0.1999620733249052,57.3,27.1,63.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09079847908745248,0.11457627118644066,10:1,119:1,150,13.1,12.1,82.7,2.0,8.0,79,5.2,18.1,5.2,34,120,117,125,128,138,114,101,112,94,110,112,113,127,1545
East Orange School District,NJ-131210,2023-24,43.0,43.0,45,51,31.5,42,41,42,43.5,34,55,34.6,16.2,37.5,NA,NA,NA,NA,NA,NA,NA,0.07004251062765691,14.9,13.7,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008673170731707317,0.011671149966375253,14:1,144:1,698,16.3,13.5,82.2,2.3,4.2,2085,25.2,12.8,50.9,1284,658,598,641,576,610,659,632,598,633,629,658,681,620,9477
Essex Fells School District,NJ-131400,2023-24,52.0,56.0,78,46,40.5,NA,NA,60,60,44.5,NA,92.2,81.8,94.3,NA,NA,NA,NA,NA,NA,NA,0.235390625,81.3,50.0,87.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18742187500000002,0.18742187500000002,8:1,124:1,33,11.7,9.9,74.2,15.2,0,7,3.1,18.5,0.0,25,37,26,32,39,29,30,30,0,0,0,0,0,0,248
Fairfield Public School District,NJ-131465,2023-24,43.0,50.0,22,65,43,NA,NA,37,72,47,NA,58.2,24.5,63.8,NA,NA,NA,NA,NA,NA,NA,0.1368,47.5,28.3,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06632978723404255,0.06632978723404255,10:1,142:1,68,11.9,11.9,79.4,0,16.2,61,9.1,14.4,4.7,34,92,96,99,84,109,108,86,0,0,0,0,0,0,708
Glen Ridge Public School District,NJ-131750,2023-24,51.0,59.0,50,53,67.5,31.5,55.5,66,74.5,66,32.5,80.7,42.9,88.9,NA,NA,NA,NA,NA,NA,NA,0.2781548250265111,77.3,43.4,84.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18909090909090912,0.22860778443113774,12:1,119:1,150,14.3,12.9,83.3,2.7,1.3,139,8.0,17.2,0.3,65,124,113,137,134,139,124,141,134,134,134,142,119,144,1784
