DistrictName,ST_LEAID,SchoolYear,mSGP_ELA,mSGP_Math,mSGP_ELA Grade 4,mSGP_ELA Grade 5,mSGP_ELA Grade 6,mSGP_ELA Grade 7,mSGP_ELA Grade 8,mSGP_Math Grade 4,mSGP_Math Grade 5,mSGP_Math Grade 6,mSGP_Math Grade 7,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,ELA_ME_Grade 03,ELA_ME_Grade 04,ELA_ME_Grade 05,ELA_ME_Grade 06,ELA_ME_Grade 07,ELA_ME_Grade 08,ELA_ME_Grade 09,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_ME_Algebra I,MATH_ME_Grade 03,MATH_ME_Grade 04,MATH_ME_Grade 05,MATH_ME_Grade 06,MATH_ME_Grade 07,MATH_ME_Grade 08,MATH_ME_Algebra II,MATH_ME_Geometry,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_School,TeacherAvgYearsExp_School,TeacherAvgYearsExpInDistrict_School,PercentageTeacherInDistrict4YearsOrMore_School,PercentageOfOutOfFieldTeachers,PercentageTeachersWithProvisionalCredentials_School,Chronic_Abs_Count,Chronic_Abs_Pct,Students with Disabilities,Economically Disadvantaged Students,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment
Phillipsburg School District,NJ-414100,2023-24,48.5,50.0,46.5,56,33,75,34,53,73,29,48.5,36.6,14.7,43.5,NA,NA,NA,NA,NA,NA,NA,0.0825909661229611,25.6,13.9,29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02189579409918393,0.029750778816199374,11:1,154:1,359,14.4,12.4,76.3,0.6,5.6,990,26.8,20.8,55.6,313,225,193,225,194,206,203,198,212,222,444,441,425,488,3989
Pohatcong Township School District,NJ-414200,2023-24,42.5,52.0,45.5,34,26,40,58,39.5,45.5,50.5,67,44.9,28.9,50.0,NA,NA,NA,NA,NA,NA,NA,0.027391304347826086,40.5,26.7,45.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03307692307692308,0.040952380952380955,9:1,78:1,33,16.8,12.9,75.8,0,0,47,16.9,22.6,21.6,28,29,25,37,23,33,31,36,32,35,0,0,0,0,310
Warren Hills Regional School District,NJ-415465,2023-24,40.0,43.0,NA,NA,NA,23,54.5,NA,NA,NA,43,42.1,11.7,47.9,NA,NA,NA,NA,NA,NA,NA,0.1097134670487106,33.5,15.9,36.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03974540311173975,0.07,11:1,129:1,143,15.1,13.1,86.0,0.7,0.7,172,11.0,16.2,22.6,0,0,0,0,0,0,0,0,241,248,250,292,263,258,1552
Washington Borough School District,NJ-415480,2023-24,39.0,45.0,27.5,27,64,NA,NA,25,46.5,64,NA,34.5,14.8,39.4,NA,NA,NA,NA,NA,NA,NA,0.03496428571428572,26.3,13.0,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023321554770318022,0.023321554770318022,11:1,143:1,51,10.8,8.8,64.7,0,17.6,52,10.6,17.3,40.3,78,61,80,60,77,73,73,69,0,0,0,0,0,0,571
Washington Township School District,NJ-415530,2023-24,57.0,52.0,51,48,67,NA,NA,57,46,47.5,NA,46.6,12.5,54.2,NA,NA,NA,NA,NA,NA,NA,0.11312217194570136,37.9,12.5,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04153153153153154,0.04153153153153154,10:1,104:1,42,10.8,10.7,71.4,0,2.4,31,8.1,17.3,19.5,30,58,51,52,57,63,55,50,0,0,0,0,0,0,416
White Township Consolidated School District,NJ-415780,2023-24,51.0,52.5,41,48,37.5,53,73.5,66,26,69,51,64.4,37.5,67.7,NA,NA,NA,NA,NA,NA,NA,0.16133802816901407,58.2,25.0,62.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11345070422535211,0.11693693693693694,8:1,256:1,32,17.3,15.0,90.6,0,0,38,16.2,10.9,15.2,24,31,30,29,23,21,24,20,24,30,0,0,0,0,256
Bergen Arts and Science Charter School,NJ-806013,2023-24,50.0,52.5,62,37,49.5,49,51.5,52,40,57.5,63,55.6,10.1,62.4,NA,NA,NA,NA,NA,NA,NA,0.18161616161616162,39.6,<10%,44.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053708513708513705,0.05584016393442623,14:1,158:1,88,7.9,5.2,60.2,3.4,19.3,117,9.2,11.1,55.7,0,100,99,98,96,100,99,97,97,99,106,94,94,87,1266
Foundation Academy Charter School,NJ-806017,2023-24,79.0,76.0,54,72,80,87,92,86,75.5,58,82,46.8,16.2,50.9,NA,NA,NA,NA,NA,NA,NA,0.08303030303030304,18.9,<10%,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013730297723292468,0.01192399049881235,18:1,51:1,60,7.8,3.9,37.5,18.3,16.7,190,17.6,10.4,85.9,0,84,86,82,84,83,87,83,83,84,89,90,82,62,1079
Central Jersey College Prep Charter School,NJ-806018,2023-24,61.0,72.0,45,66,70.5,65,47,64,85,72.5,54,73.3,10.9,78.4,NA,NA,NA,NA,NA,NA,NA,0.3172360616844603,62.8,11.1,66.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18225467289719624,0.2353125,12:1,132:1,114,8.2,3.0,35.5,0.9,42.1,49,3.7,9.3,29.6,0,47,59,83,98,86,89,161,155,130,125,128,87,70,1318
Pride Academy Charter School District,NJ-806020,2023-24,61.0,81.0,NA,69.5,47,78,50,NA,70,76.5,92,61.0,31.0,66.1,NA,NA,NA,NA,NA,NA,NA,0.1383164983164983,42.1,16.7,46.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06494949494949495,0.049955752212389376,13:1,37:1,23,10.0,7.3,73.9,34.8,8.7,21,7.1,15.2,34.5,0,0,0,0,0,0,75,75,75,71,0,0,0,0,296
