DistrictName,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment,ST_LEAID,SchoolYear,Students with Disabilities,Economically Disadvantaged Students,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_District,TeacherAvgYearsExp_District,TeacherAvgYearsExpInDistrict_District,TeacherInDistrict4YearsOrMore_District,Chronic_Abs_Count,Chronic_Abs_Pct,Abs_0,Abs_1-5,Abs_6-10,Abs_11-15,Abs_over15
Waldwick School District,36,132,120,128,125,130,124,126,124,114,135,111,102,93,1600,NJ-035410,2018-2019,16.0,0,72.9,33.3,81.9,0.27195402298850574,59.7,23.0,68.1,0.09336458333333333,0.11783387622149837,11:1,133:1,147,12.6,11.7,80.1,131,8.2,4,39,29,15,12
Wallington Boro School District,0,80,93,90,97,105,96,96,108,103,98,88,97,77,1228,NJ-035430,2018-2019,12.3,27.5,59.0,14.7,67.0,NA,43.2,20.7,47.2,0.020955974842767296,0.03312127236580517,13:1,112:1,92,10.6,9.6,59.8,64,5.1,4,40,32,16,8
Westwood Regional School District,47,216,226,230,210,197,219,212,219,199,200,211,194,200,2780,NJ-035755,2018-2019,15.0,8.4,75.9,24.5,85.0,0.29169408897014015,57.5,16.2,64.3,0.09115076923076923,0.1323864734299517,11:1,146:1,251,12.5,10.3,73.7,225,8.1,3,34,34,16,12
Wood-Ridge School District,69,69,87,97,72,81,87,80,76,95,112,101,92,111,1229,NJ-035830,2018-2019,17.8,17.2,62.4,27.6,69.9,NA,44.8,*,*,0.03408430232558139,0.05982142857142857,12:1,137:1,99,8.2,8.2,69.7,40,3.3,9,44,30,12,5
Woodcliff Lake School District,20,67,72,62,101,73,74,86,88,91,0,0,0,0,734,NJ-035880,2018-2019,16.8,1.1,84.9,52.2,92.1,NA,76.6,28.3,87.2,0.164,0.16332541567695963,9:1,105:1,78,10.8,9.5,70.1,23,3.2,4,41,33,16,6
Wyckoff Township Public School District,27,173,184,200,186,211,224,226,226,249,0,0,0,0,1906,NJ-035920,2018-2019,16.8,0.5,77.2,41.0,84.1,0.334392666157372,70.6,37.6,77.0,0.11613567073170732,0.1455300859598854,10:1,159:1,188,11.9,10.4,74.5,80,4.2,3,38,37,15,6
Bass River Township Board of Education,5,17,9,12,14,12,20,16,0,0,0,0,0,0,105,NJ-050200,2018-2019,33.3,41.0,45.0,19.0,59.0,NA,36.7,*,*,0,0,8:1,105:1,14,14.2,11.6,85.7,7,7.2,2,23,46,19,10
Beverly City School,39,32,36,29,25,31,24,26,37,30,0,0,0,0,309,NJ-050380,2018-2019,21.7,64.4,62.4,32.7,74.4,NA,33.5,12.2,42.1,NA,0,11:1,62:1,29,7.6,7.6,62.1,24,8.7,8,32,30,20,11
Bordentown Regional School District,34,155,178,153,172,200,206,175,215,191,209,183,203,155,2429,NJ-050475,2018-2019,21.0,20.0,53.8,*,*,NA,49.4,29.3,55.1,0.05598912304554725,0.08875,13:1,162:1,192,10.4,10.4,77.1,79,3.3,14,50,23,8,4
Burlington City Public School District,177,127,127,124,98,116,104,104,103,97,119,121,113,105,1635,NJ-050600,2018-2019,21.9,58.7,37.6,*,*,NA,24.2,*,*,0,0,10:1,109:1,171,12.4,11.2,83.0,201,13.4,3,33,28,19,17
Burlington County Special Services School District,19,15,15,16,23,41,28,31,35,40,58,70,70,137,598,NJ-050605,2018-2019,90.1,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4:1,33:1,144,14.9,12.1,65.9,NA,NA,NA,NA,NA,NA,NA
Burlington County Institute of Technology School District,0,0,0,0,0,0,0,0,0,0,558,521,489,480,2048,NJ-050610,2018-2019,15.6,44.0,49.6,19.4,55.1,0.09482374768089054,23.6,*,*,0,NA,14:1,186:1,147,12.2,10.8,74.1,94,4.6,4,36,36,16,8
Burlington Township School District,81,225,233,261,252,246,288,329,287,311,312,253,329,295,3702,NJ-050620,2018-2019,15.0,25.3,54.9,18.9,61.7,NA,42.5,*,*,0.04186046511627907,0.053323593864134405,11:1,161:1,333,14.3,12.4,84.1,271,7.4,7,43,28,13,9
Chesterfield Township School District,28,103,98,114,104,106,112,124,0,0,0,0,0,0,789,NJ-050830,2018-2019,19.0,1.8,63.7,28.2,71.7,NA,59.4,31.2,65.7,0.07344262295081967,0.07344262295081967,14:1,158:1,58,11.6,8.3,70.7,28,3.7,4,40,37,12,7
Cinnaminson Township School District,34,154,200,189,193,189,212,208,193,192,186,216,211,186,2563,NJ-050840,2018-2019,15.7,13.7,66.4,28.2,72.8,NA,49.9,24.9,54.1,0,0,12:1,107:1,220,11.7,11.1,72.0,176,7.0,5,42,29,15,9
Delanco Township School District,0,39,47,40,45,36,50,53,37,46,0,0,0,0,393,NJ-051030,2018-2019,14.0,35.9,32.5,13.0,37.3,NA,33.2,*,*,0,0,12:1,98:1,33,14.5,12.5,87.9,31,7.6,7,35,30,17,11
Delran Township School District,49,203,198,208,223,228,244,216,248,224,257,224,215,217,2954,NJ-051060,2018-2019,17.5,23.9,51.6,27.3,57.1,NA,38.6,*,*,0.013096186681844053,0.021484593837535017,12:1,164:1,245,11.8,9.6,75.9,135,4.6,4,44,33,13,7
Eastampton Township School District,0,72,51,66,59,69,63,77,68,68,0,0,0,0,593,NJ-051250,2018-2019,23.3,22.3,42.7,*,*,NA,34.4,*,*,NA,0,12:1,119:1,48,13.0,13.0,70.8,37,6.2,5,38,31,16,10
Edgewater Park Township School District,45,100,94,107,103,104,100,107,87,84,0,0,0,0,931,NJ-051280,2018-2019,16.8,56.7,41.0,10.6,48.7,NA,35.4,12.5,41.1,0,0,12:1,155:1,77,11.3,9.9,71.4,96,10.8,4,34,33,16,13
Evesham Township School District,142,414,414,452,452,460,521,515,521,564,0,0,0,0,4455,NJ-051420,2018-2019,23.8,9.8,63.3,32.5,72.4,0.16978260869565218,48.0,23.3,55.3,0.057696228338430175,0.0706029106029106,12:1,212:1,357,10.6,8.6,69.2,170,3.9,6,45,30,13,6
Florence Township School District,36,83,87,112,106,140,107,158,145,153,131,102,110,105,1575,NJ-051520,2018-2019,18.0,25.8,40.6,10.0,47.7,NA,36.2,*,*,0,0,12:1,197:1,131,11.5,11.5,75.4,204,13.1,5,32,30,17,16
Hainesport Township School District,21,56,44,54,59,68,66,62,78,75,0,0,0,0,583,NJ-051910,2018-2019,19.9,13.6,66.0,22.2,78.5,NA,56.4,22.2,66.1,0,0,10:1,146:1,58,12.2,10.3,81.0,31,5.5,6,38,35,11,10
Lenape Regional High School District,0,0,0,0,0,0,0,0,0,0,1730,1747,1619,1653,6749,NJ-052610,2018-2019,14.3,10.1,65.4,23.4,72.5,0.19498229043683588,36.1,*,*,0.012151108335935062,NA,11:1,169:1,588,14.6,13.2,83.8,575,8.4,6,40,31,13,11
Lumberton Township Board of Education,0,105,112,110,107,138,129,159,170,176,0,0,0,0,1228,NJ-052850,2018-2019,20.4,23.4,52.8,17.9,61.7,NA,48.1,16.9,56.1,0.021061130334486738,0.02627338129496403,12:1,154:1,99,17.4,15.4,89.9,104,8.5,7,42,30,12,10
Mansfield Township School District,21,55,64,64,71,76,90,88,0,0,0,0,0,0,529,NJ-052960,2018-2019,19.4,6.8,75.9,24.1,87.5,NA,64.9,25.9,73.6,0.08720496894409938,0.08720496894409938,9:1,133:1,58,10.6,10.6,75.9,30,5.9,1,39,37,16,7
Maple Shade School District,157,198,180,177,188,167,188,184,163,158,138,139,122,135,2294,NJ-053010,2018-2019,23.4,44.9,40.8,*,*,NA,24.5,*,*,0.009604863221884499,0.014445714285714286,12:1,176:1,186,10.0,10.0,72.6,262,12.3,4,31,31,19,15
Medford Lakes School District,10,48,50,50,67,52,46,72,70,57,0,0,0,0,522,NJ-053070,2018-2019,16.7,2.3,67.9,30.8,76.4,NA,53.3,13.8,62.3,NA,0,12:1,131:1,43,13.0,11.0,69.8,24,4.7,3,35,41,15,7
Medford Township School District,73,260,275,257,276,275,307,280,343,329,0,0,0,0,2675,NJ-053080,2018-2019,22.7,5.9,75.7,44.8,84.9,0.2875495189586871,64.6,33.7,73.8,NA,0.1158641975308642,12:1,178:1,227,12.0,12.0,80.2,116,4.4,6,42,33,12,7
Moorestown Township Public School District,117,214,270,245,290,302,288,327,319,321,325,308,301,345,3972,NJ-053360,2018-2019,20.1,10.4,76.3,41.4,85.9,0.26927031509121063,70.4,29.7,81.9,0.18464912280701753,0.2136941813261164,11:1,153:1,353,13.8,11.3,79.9,159,4.1,7,47,27,12,7
Mount Holly Township Public School District,98,105,90,109,99,102,112,91,132,113,0,0,0,0,1051,NJ-053430,2018-2019,17.3,54.6,47.9,16.2,56.8,NA,33.8,*,*,0,0,11:1,131:1,94,9.1,9.1,72.3,66,6.8,5,35,34,17,9
Mount Laurel Township School District,163,351,443,434,443,475,507,450,494,484,0,0,0,0,4244,NJ-053440,2018-2019,17.0,14.6,60.2,*,*,0.17786939073330899,55.2,22.4,60.6,0.09607350800582241,0.09992286751361162,12:1,202:1,350,12.6,12.2,75.4,214,5.2,6,43,31,12,8
New Hanover Township,14,15,19,23,19,16,21,14,10,14,0,0,0,0,165,NJ-053540,2018-2019,20.0,41.8,52.1,24.0,62.0,NA,36.5,12.0,45.1,NA,0,7:1,55:1,25,12.2,10.0,76.0,16,10.3,5,42,24,16,13
North Hanover Township School District,176,135,139,126,117,125,129,122,0,0,0,0,0,0,1069,NJ-053650,2018-2019,16.9,30.3,54.8,21.4,62.2,NA,47.5,16.7,54.4,0,0,9:1,134:1,116,13.3,12.2,74.1,78,8.8,2,33,33,19,12
Northern Burlington County Regional School District,0,0,0,0,0,0,0,0,391,400,378,313,329,319,2130,NJ-053690,2018-2019,16.5,10.3,67.6,27.0,75.3,0.261243851018974,49.6,21.4,55.1,0.012004405286343613,0.05,13:1,142:1,165,12.1,10.5,74.5,218,10.1,3,34,33,17,12
Palmyra Public School District,10,59,59,57,52,61,76,80,66,72,100,86,66,69,913,NJ-053920,2018-2019,15.8,37.2,52.2,18.7,59.5,NA,33.1,*,*,0,0,11:1,91:1,82,13.8,11.4,72.0,75,8.2,8,41,31,11,9
Pemberton Township School District,616,366,343,371,356,349,352,363,314,342,260,246,227,223,4728,NJ-054050,2018-2019,18.9,43.6,43.7,17.3,50.8,NA,26.5,13.4,29.9,0.00965421303656598,0.014330383480825961,11:1,139:1,442,14.0,12.5,79.2,619,14.8,3,28,31,19,20
Rancocas Valley Regional High School District,0,0,0,0,0,0,0,0,0,0,552,491,470,485,1998,NJ-054320,2018-2019,17.2,21.4,53.9,12.3,61.9,0.14233333333333334,48.0,13.1,53.3,0.04820942408376963,NA,14:1,133:1,147,12.3,12.3,80.3,249,12.1,10,39,27,11,14
Riverside Township School District,95,103,88,95,108,131,97,104,89,102,108,103,99,80,1402,NJ-054450,2018-2019,18.2,57.1,28.4,*,*,NA,17.4,13.4,18.5,0,0,12:1,140:1,115,13.1,12.4,84.3,150,11.3,6,32,29,19,15
Riverton School District,14,28,29,33,37,30,41,29,31,29,0,0,0,0,301,NJ-054460,2018-2019,26.9,11.6,76.5,51.7,88.2,NA,64.7,41.7,75.6,0,0,11:1,100:1,28,13.5,10.7,64.3,2,0.7,6,48,31,12,3
Shamong Township School District,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NJ-054740,2018-2019,N,N,58.0,23.9,67.6,NA,50.9,18.3,60.1,0,0,N,N,65,9.7,7.3,64.6,48,6.7,4,39,31,16,9
Southampton Township School District,10,83,73,67,78,78,77,85,88,85,0,0,0,0,724,NJ-054930,2018-2019,22.1,21.0,64.3,35.0,70.4,NA,54.5,17.7,62.1,0,0,10:1,103:1,71,8.9,7.1,60.9,16,2.2,11,52,28,6,3
Springfield Township School District,25,38,25,28,24,29,32,26,0,0,0,0,0,0,227,NJ-055010,2018-2019,20.3,9.7,68.5,34.8,77.6,NA,73.1,43.5,81.2,0,0,9:1,114:1,25,12.7,11.3,75.0,11,5.4,6,45,30,13,6
Tabernacle Township School District,24,59,79,63,71,79,76,83,72,91,0,0,0,0,697,NJ-055130,2018-2019,18.2,9.8,47.2,23.5,52.8,NA,39.5,21.2,43.8,0,0,11:1,100:1,63,12.9,9.6,74.6,37,5.5,5,39,35,13,7
Westampton Township Public School District,41,112,100,118,104,105,111,120,103,107,0,0,0,0,1021,NJ-055720,2018-2019,23.1,25.5,56.1,27.5,64.5,NA,38.8,23.2,43.4,0,0,12:1,204:1,83,12.1,10.7,76.5,80,8.1,6,40,31,12,11
Willingboro Public School District,284,266,257,258,261,269,297,263,252,258,145,186,180,164,3340,NJ-055805,2018-2019,19.5,31.0,31.5,17.5,35.2,NA,*,13.4,16.9,0,0,13:1,124:1,258,13.3,12.9,79.8,668,21.6,5,26,26,18,25
Woodland Township School District,6,8,9,16,12,14,11,20,24,15,0,0,0,0,135,NJ-055890,2018-2019,26.7,21.5,37.9,14.8,47.1,NA,29.5,*,*,0,0,7:1,45:1,19,10.6,7.6,57.9,13,9.8,3,30,33,18,17
Audubon Public School Disrict,27,94,85,111,103,82,99,103,97,94,149,162,147,148,1501,NJ-070150,2018-2019,21.3,21.1,60.7,19.4,72.7,NA,41.5,*,*,0.017017543859649126,0.02920430107526882,11:1,125:1,137,13.2,11.9,80.6,151,10.1,4,34,31,17,14
Barrington School District,10,57,62,71,63,56,63,65,80,69,0,0,0,0,596,NJ-070190,2018-2019,16.4,24.2,53.0,*,*,NA,46.3,*,*,0,0,10:1,119:1,62,11.8,9.9,75.0,36,6.2,2,40,33,15,10
Bellmawr Public School District,154,106,124,121,119,124,116,119,125,111,0,0,0,0,1219,NJ-070260,2018-2019,13.5,48.6,55.2,*,*,NA,34.6,10.4,39.1,0,0,13:1,122:1,95,10.3,9.6,72.6,123,11.5,3,29,35,19,14
Berlin Borough School District,6,72,62,78,88,104,79,118,95,102,0,0,0,0,804,NJ-070330,2018-2019,15.9,12.9,61.1,19.6,69.3,NA,52.8,16.3,60.0,0.027031802120141345,0.032832618025751076,13:1,161:1,64,11.7,9.2,81.3,47,5.8,5,39,32,15,8
Berlin Township School District,45,69,62,64,52,79,77,66,69,54,0,0,0,0,637,NJ-070340,2018-2019,22.2,41.5,48.9,*,*,NA,44.5,*,*,0,0,10:1,107:1,65,13.5,12.2,75.4,64,10.9,3,34,32,17,15
Black Horse Pike Regional School District,0,0,0,0,0,0,0,0,0,0,894,866,851,873,3484,NJ-070390,2018-2019,17.9,32.7,45.2,*,*,0.10859272510435301,34.8,*,*,0.012179042331714088,NA,12:1,102:1,283,12.0,10.2,78.0,297,8.3,5,35,34,15,12
Brooklawn Public School District,17,35,27,27,32,43,34,39,32,36,0,0,0,0,322,NJ-070580,2018-2019,24.5,51.2,42.3,11.4,51.0,NA,28.7,13.3,33.1,0,0,11:1,107:1,29,13.6,12.1,89.7,30,9.7,4,32,34,15,15
Camden City School District,981,585,578,570,497,571,509,513,477,510,490,412,371,423,7487,NJ-070680,2018-2019,17.3,59.8,16.7,*,*,NA,*,*,*,0,0,9:1,58:1,806,12.6,12.6,71.7,2236,33.8,6,20,21,16,37
Camden County Technical School District,0,0,0,0,0,0,0,0,0,0,560,591,418,486,2055,NJ-070700,2018-2019,12.8,61.3,52.8,21.7,57.1,0.11055652173913043,26.9,13.7,28.8,0,NA,10:1,82:1,196,10.8,9.2,63.8,324,15.8,4,25,28,21,21
Cherry Hill School District,283,593,746,706,763,774,833,861,875,880,902,895,871,875,10857,NJ-070800,2018-2019,19.0,19.6,69.5,34.0,78.1,0.2640075872534143,53.7,27.7,59.9,0.08417717625346048,0.10180910951893551,13:1,231:1,862,13.2,12.8,83.2,1010,9.5,5,36,31,15,14
Clementon Elementary School District,19,48,53,57,56,39,59,66,44,51,0,0,0,0,492,NJ-070880,2018-2019,17.7,60.4,67.3,15.6,81.0,NA,36.6,12.5,43.0,0,0,10:1,123:1,49,11.1,8.3,63.3,125,26.4,1,15,26,25,33
Collingswood Public School District,80,137,120,120,140,129,124,181,171,166,188,194,177,171,2098,NJ-070940,2018-2019,17.5,32.7,58.5,24.8,66.1,0.17575586095392076,45.7,*,*,0.0477109440267335,0.08146932952924393,11:1,110:1,190,12.3,10.3,75.3,238,11.8,3,33,31,17,16
Eastern Camden County Regional School District,0,0,0,0,0,0,0,0,0,0,463,471,482,529,1945,NJ-071255,2018-2019,12.4,12.9,59.4,10.4,66.3,0.2146535796766744,42.7,*,*,0,NA,14:1,150:1,140,14.8,11.9,82.9,182,9.2,7,43,29,10,11
Gibbsboro Elementary School District,17,32,27,20,20,37,35,25,28,34,0,0,0,0,275,NJ-071720,2018-2019,14.5,15.6,49.4,11.1,56.7,NA,36.9,19.2,40.1,0,0,10:1,138:1,27,8.3,7.4,74.1,18,7.0,0,27,37,23,12
Gloucester City Public School District,243,155,152,146,138,150,185,159,148,127,139,121,122,125,2110,NJ-071770,2018-2019,19.6,58.4,49.8,14.5,59.1,NA,32.2,*,*,0.01587610619469027,0.023667546174142483,12:1,132:1,182,13.7,13.7,86.3,526,27.5,2,19,24,19,36
Gloucester Township Public Schools,163,594,605,666,656,670,687,722,742,784,0,0,0,0,6289,NJ-071780,2018-2019,18.6,40.1,54.4,*,*,0.1308503562945368,42.9,12.6,49.5,0.052826654019445106,0.059450581395348846,12:1,180:1,530,14.3,13.5,85.1,437,7.0,4,36,33,16,10
"KIPP: Cooper Norcross, A New Jersey Nonprofit Corporation",0,119,117,124,113,155,164,232,229,96,0,0,0,0,1349,NJ-071799,2018-2019,19.1,97.2,31.2,*,*,NA,20.9,*,*,NA,0,19:1,1349:1,72,4.6,1.7,4.2,284,21.1,2,25,24,20,28
"Camden Prep, Inc.",0,129,149,114,88,87,57,59,42,0,0,0,0,0,725,NJ-071801,2018-2019,14.2,96.0,50.0,26.3,55.2,NA,46.7,15.8,53.5,0,0,26:1,145:1,28,3.4,1.9,10.7,216,30.0,5,23,21,15,36
"Mastery Schools of Camden, Inc.",0,207,201,218,244,236,199,197,180,167,187,118,86,0,2240,NJ-071802,2018-2019,23.6,98.1,22.9,*,*,NA,18.0,*,*,0,0,15:1,224:1,149,6.3,1.9,8.7,409,18.3,3,27,27,18,25
HADDON HEIGHTS School District,23,78,76,63,73,81,81,93,76,78,224,164,183,166,1459,NJ-071880,2018-2019,15.0,11.3,67.6,*,*,NA,47.1,20.7,52.1,0.046065959952885746,0.09977040816326531,11:1,133:1,138,11.7,8.8,63.8,43,3.0,7,44,30,14,5
Haddon Township School District,74,126,143,132,148,175,162,153,149,169,154,168,154,155,2062,NJ-071890,2018-2019,18.6,14.8,62.2,*,*,NA,47.1,14.5,54.6,0,0,12:1,129:1,166,11.0,7.6,54.9,109,5.4,3,34,36,16,11
Haddonfield School District,76,158,186,208,185,220,174,221,224,211,231,211,209,217,2731,NJ-071900,2018-2019,17.9,2.0,78.3,44.9,85.5,NA,72.7,36.8,80.4,0.12085522296884545,0.1583132530120482,12:1,161:1,230,8.0,7.0,49.6,96,3.6,5,45,33,12,6
Laurel Springs School District,12,18,18,23,26,29,36,27,0,0,0,0,0,0,189,NJ-072540,2018-2019,16.4,27.0,71.8,37.0,82.2,NA,59.0,29.6,67.8,0,0,12:1,47:1,16,14.9,11.2,75.0,12,6.7,3,34,34,19,9
Lawnside School Distric,39,32,33,26,28,20,29,28,28,35,0,0,0,0,298,NJ-072560,2018-2019,14.1,46.3,39.9,13.9,47.0,NA,20.2,11.1,22.7,NA,0,10:1,75:1,31,11.5,9.1,80.6,60,22.7,8,23,25,19,26
Lindenwold Public School District,227,240,265,234,233,264,226,205,200,208,149,135,118,134,2838,NJ-072670,2018-2019,14.9,83.1,19.7,*,*,NA,12.8,*,*,0,0,11:1,142:1,253,10.2,8.0,57.7,344,13.2,3,32,33,17,16
Magnolia School District,26,38,44,34,47,54,37,37,47,42,0,0,0,0,406,NJ-072890,2018-2019,21.7,39.2,48.2,40.7,49.1,NA,31.9,33.3,31.7,0,0,10:1,102:1,41,13.0,12.0,80.5,29,7.6,4,33,35,16,12
Merchantville School District,25,35,38,45,45,50,49,44,50,42,0,0,0,0,423,NJ-073110,2018-2019,18.7,32.6,51.1,24.0,57.2,NA,46.7,16.0,53.6,0,0,12:1,423:1,34,13.3,9.8,58.8,27,6.8,4,38,34,15,9
Mt. Ephraim School District,25,40,46,41,54,42,51,35,33,40,0,0,0,0,407,NJ-073420,2018-2019,21.1,28.0,53.1,26.6,61.7,NA,47.3,25.0,54.6,0,0,11:1,136:1,38,12.6,10.5,74.2,33,8.4,2,32,34,18,14
Oaklyn Public School District,42,31,41,30,38,32,44,0,0,0,0,0,0,0,258,NJ-073770,2018-2019,19.8,32.2,55.0,19.2,65.9,NA,52.3,19.2,62.4,NA,0,11:1,43:1,24,13.7,12.3,79.2,18,8.3,5,43,24,16,13
Pennsauken Township Board of Education School District,227,296,328,355,330,348,351,371,374,409,341,313,329,311,4683,NJ-074060,2018-2019,21.0,69.8,35.1,*,*,0.0603140613847252,28.6,10.3,33.6,0.015961884214311398,0.025778164924506387,12:1,167:1,396,13.9,13.0,84.1,601,13.3,6,30,29,17,18
Pine Hill School District,73,116,134,104,137,127,124,134,135,118,160,149,159,177,1847,NJ-074110,2018-2019,21.5,55.8,46.2,21.2,53.4,NA,27.7,*,*,0,0,11:1,142:1,171,11.6,11.3,77.2,185,10.2,6,33,29,18,14
Runnemede Public School District,62,77,90,87,90,79,87,92,85,89,0,0,0,0,838,NJ-074590,2018-2019,18.1,34.5,48.9,15.2,57.2,NA,27.5,10.2,31.8,0,0,12:1,140:1,69,11.5,11.1,78.3,61,7.8,3,32,37,16,12
Somerdale School District,24,58,42,44,54,59,52,55,50,51,0,0,0,0,489,NJ-074790,2018-2019,13.7,37.4,51.7,*,*,NA,39.6,*,*,0,0,10:1,122:1,50,11.5,10.4,70.0,19,4.1,18,43,22,11,6
Sterling Regional School District,0,0,0,0,0,0,0,0,0,0,264,236,205,242,947,NJ-075035,2018-2019,17.5,30.8,34.8,*,*,0.059244060475161994,14.3,*,*,0,NA,13:1,118:1,71,12.9,11.5,84.5,95,9.9,9,38,25,14,14
Stratford School District,29,82,74,87,75,71,81,106,117,0,0,0,0,0,722,NJ-075080,2018-2019,21.1,35.7,64.3,*,*,NA,48.7,17.6,57.5,0.01771836007130125,0.02184615384615385,10:1,120:1,72,14.2,13.9,90.3,1,0.1,6,64,30,0,0
Voorhees Township School District,72,274,320,325,306,315,327,345,340,359,0,0,0,0,2983,NJ-075400,2018-2019,18.2,12.0,74.7,34.7,83.2,0.26803177857508975,60.7,28.0,67.7,NA,0.1611276332094176,13:1,175:1,236,14.8,13.4,78.8,192,6.6,5,41,31,14,10
Waterford Township School District,138,88,106,105,116,104,96,113,0,0,0,0,0,0,866,NJ-075560,2018-2019,16.7,24.5,41.8,*,*,NA,39.7,*,*,0,0,11:1,144:1,80,9.3,9.2,71.3,49,6.7,3,30,37,20,11
Winslow Township School District,236,366,362,385,382,358,375,365,383,358,331,271,277,297,4746,NJ-075820,2018-2019,21.0,54.9,41.8,11.9,49.8,0.08933455882352942,28.7,10.2,33.6,0.0196969696969697,0.029905764966740578,10:1,164:1,457,10.8,10.7,72.4,311,6.8,9,43,28,12,8
Woodlynne School District,26,28,35,34,35,46,49,49,34,32,0,0,0,0,368,NJ-075900,2018-2019,20.4,87.2,32.9,20.0,36.5,NA,26.1,18.8,28.0,0,0,11:1,123:1,33,11.9,8.9,65.6,58,16.5,5,36,26,15,19
Avalon School District,21,0,0,0,0,0,18,19,14,11,0,0,0,0,83,NJ-090170,2018-2019,10.8,0,78.3,*,*,NA,45.0,*,*,0,0,5:1,21:1,16,17.7,13.1,87.5,9,14.5,3,11,45,19,21
Cape May City School District,26,20,18,16,21,17,11,15,0,0,0,0,0,0,144,NJ-090710,2018-2019,22.2,60.4,59.4,30.8,66.7,NA,50.0,23.1,56.9,0,0,7:1,48:1,22,13.5,12.0,81.8,9,7.4,0,39,27,25,9
Cape May County Special Services School District,18,18,17,8,13,21,11,9,10,14,22,19,14,37,231,NJ-090715,2018-2019,99.1,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6:1,47:1,41,12.9,11.9,63.4,NA,NA,NA,NA,NA,NA,NA
Cape May County Technical High School District,0,0,0,0,0,0,0,0,0,0,137,159,152,144,592,NJ-090720,2018-2019,18.7,27.6,32.3,12.5,39.1,NA,12.9,*,*,0,NA,8:1,85:1,71,13.1,10.8,76.1,54,9.8,2,31,31,22,14
Dennis Township School District,52,63,55,66,66,51,53,54,52,45,0,0,0,0,557,NJ-091080,2018-2019,23.3,27.5,51.1,24.7,60.6,NA,53.7,27.2,63.3,0.060164473684210525,0.07116731517509728,8:1,139:1,66,11.9,10.4,62.1,45,8.8,3,27,37,20,14
Lower Cape May Regional School District,0,0,0,0,0,0,0,0,232,235,201,186,203,192,1249,NJ-092820,2018-2019,25.3,45.5,51.4,*,*,0.1426051401869159,40.9,12.2,47.0,0.017542043984476067,0.06,11:1,125:1,118,15.7,15.7,91.5,116,9.1,3,25,34,26,13
Lower Township Elementary School District,194,179,216,180,205,212,236,0,0,0,0,0,0,0,1422,NJ-092840,2018-2019,18.8,51.5,44.1,25.3,49.1,NA,36.1,22.0,39.8,0.029543859649122806,0.029543859649122806,10:1,158:1,148,12.1,12.1,80.4,98,7.8,3,31,36,20,10
Middle Township Public School District,154,166,166,176,178,194,183,171,188,169,191,161,191,175,2463,NJ-093130,2018-2019,20.2,40.4,45.5,*,*,NA,33.3,*,*,0,0,12:1,164:1,212,13.7,13.3,77.4,353,14.7,2,27,32,19,20
North Wildwood School District,29,7,21,21,24,25,20,20,24,23,0,0,0,0,214,NJ-093680,2018-2019,21.5,60.7,46.5,18.9,57.8,NA,55.5,21.1,70.0,0,0,6:1,54:1,36,20.6,19.3,100.0,34,17.5,7,27,25,18,23
Ocean City School District,30,73,76,73,87,106,99,111,106,118,307,325,296,309,2116,NJ-093780,2018-2019,10.0,19.8,61.5,22.0,66.4,NA,43.5,18.9,46.5,0.015623451692815857,0.03806841046277666,11:1,192:1,186,15.0,12.4,85.5,168,8.0,5,32,34,17,12
Stone Harbor School District,0,25,24,19,15,15,0,0,0,0,0,0,0,0,98,NJ-095060,2018-2019,6.1,0,85.2,*,*,NA,81.5,*,*,0,0,7:1,25:1,15,17.7,12.9,86.7,15,15.3,4,17,28,27,24
Upper Township School District,71,126,138,151,158,160,165,151,162,153,0,0,0,0,1435,NJ-095340,2018-2019,15.8,14.1,78.0,40.6,84.6,NA,65.7,26.1,72.8,0.11579347826086957,0.13835064935064936,11:1,179:1,133,11.2,10.5,65.4,147,10.8,2,29,35,20,13
West Cape May Elementary School District,10,15,12,14,12,15,6,12,0,0,0,0,0,0,96,NJ-095610,2018-2019,24.0,21.9,68.9,*,*,NA,55.6,*,*,0,0,10:1,48:1,10,7.2,5.3,40.0,6,6.9,5,28,38,20,10
Wildwood City School District,85,68,68,55,64,65,61,58,56,54,73,59,54,42,862,NJ-095790,2018-2019,19.1,77.5,23.1,*,*,NA,19.4,*,*,0,0,9:1,96:1,94,13.2,13.2,78.7,50,6.3,8,42,27,14,8
Wildwood Crest Borough School District,39,30,22,22,27,23,21,28,23,28,0,0,0,0,263,NJ-095800,2018-2019,22.1,32.3,44.6,17.6,52.6,NA,35.6,*,*,0,0,7:1,53:1,37,14.4,12.4,86.1,20,8.5,3,27,35,22,13
Woodbine School District,42,23,35,22,19,18,19,10,15,0,0,0,0,0,203,NJ-095840,2018-2019,24.1,82.8,41.3,27.5,51.9,NA,26.6,19.5,32.1,NA,0,8:1,51:1,24,11.5,8.8,62.5,31,19.0,4,21,31,20,23
