district_name,ST_LEAID,per_pupil_cost,per_pupil_class_instruction,per_pupil_admin_cost
Stratford Boro,NJ-075080,16673,10255,1661
Voorhees Twp,NJ-075400,16976,11262,1597
Waterford Twp,NJ-075560,18306,10256,2069
Winslow Twp,NJ-075820,16270,9573,1677
Woodlynne Boro,NJ-075900,17419,9571,1806
Avalon Boro,NJ-090170,32305,16930,2381
Cape May City,NJ-090710,24080,15513,1872
Cape May Co Special Serv,NJ-090715,51017,25211,5994
Cape May Co Vocational,NJ-090720,24107,12514,3692
Dennis Twp,NJ-091080,16743,9506,1775
Lower Cape May Regional,NJ-092820,20439,11830,2104
Lower Twp,NJ-092840,17544,9999,1412
Middle Twp,NJ-093130,15099,8328,1554
North Wildwood City,NJ-093680,38857,23068,2460
Ocean City,NJ-093780,21333,12680,1830
Stone Harbor Boro,NJ-095060,28478,16792,2258
Upper Twp,NJ-095340,15243,9029,1792
West Cape May Boro,NJ-095610,20852,10266,1745
Wildwood City,NJ-095790,21809,12742,2398
Wildwood Crest Boro,NJ-095800,30961,19243,1583
Woodbine Boro,NJ-095840,15536,10440,1830
Bridgeton City,NJ-110540,16263,9310,1792
Commercial Twp,NJ-110950,14475,7602,1851
Cumberland Co Vocational,NJ-110995,17589,9464,2673
Cumberland Regional,NJ-110997,16878,8133,1828
Deerfield Twp,NJ-111020,17983,11008,1699
Downe Twp,NJ-111120,16898,9615,1962
Fairfield Twp,NJ-111460,12633,8419,1670
Greenwich Twp,NJ-111820,17728,8439,2138
Hopewell Twp,NJ-112270,14573,8874,1590
Lawrence Twp,NJ-112570,14883,9977,1511
Maurice River Twp,NJ-113050,16686,8384,1923
Millville City,NJ-113230,18611,10772,1815
Stow Creek Twp,NJ-115070,14216,8286,1797
Upper Deerfield Twp,NJ-115300,17226,10035,1686
Vineland City,NJ-115390,16200,9980,1452
Belleville Town,NJ-130250,17608,9862,2820
Bloomfield Twp,NJ-130410,16179,9605,2040
Caldwell-West Caldwell,NJ-130660,18339,10444,1858
Cedar Grove Twp,NJ-130760,18884,10295,2615
East Orange,NJ-131210,21196,10690,2332
Essex Co Voc-Tech,NJ-131390,21688,10084,4069
Essex Fells Boro,NJ-131400,21645,13706,2251
Fairfield Twp,NJ-131465,16887,10272,2168
Glen Ridge Boro,NJ-131750,16851,10031,2224
Irvington Township,NJ-132330,18379,9879,1392
Livingston Twp,NJ-132730,17535,11074,1802
Millburn Twp,NJ-133190,19215,10976,1798
Montclair Town,NJ-133310,20043,12315,1573
Newark City,NJ-133570,20026,10014,1817
North Caldwell Boro,NJ-133630,18837,10840,2391
Nutley Town,NJ-133750,17057,10451,1906
City of Orange Twp,NJ-133880,19212,10942,2701
Roseland Boro,NJ-134530,17891,10457,1846
South Orange-Maplewood,NJ-134900,18321,11299,1808
