ST_LEAID,SchoolYear,DistrictName,TotalEnrollment
NJ-012680,2014-2015,LINWOOD CITY,860
NJ-012910,2014-2015,MAINLAND REGIONAL,1355.5
NJ-013020,2014-2015,MARGATE CITY,424
NJ-013480,2014-2015,MULLICA TWP,774
NJ-013720,2014-2015,NORTHFIELD CITY,927
NJ-014180,2014-2015,PLEASANTVILLE CITY,3866
NJ-014240,2014-2015,PORT REPUBLIC CITY,130
NJ-014800,2014-2015,SOMERS POINT CITY,1016
NJ-015350,2014-2015,VENTNOR CITY,778
NJ-015760,2014-2015,WEYMOUTH TWP,181
NJ-030040,2014-2015,ALLENDALE BORO,901
NJ-030080,2014-2015,ALPINE BORO,155
NJ-030285,2014-2015,BERGEN CO SPECIAL SERVICE,729.5
NJ-030290,2014-2015,BERGEN COUNTY VOCATIONAL,2107
NJ-030300,2014-2015,BERGENFIELD BORO,3440
NJ-030440,2014-2015,BOGOTA BORO,1088.5
NJ-030740,2014-2015,CARLSTADT BORO,570
NJ-030745,2014-2015,CARLSTADT-EAST RUTHERFORD,488.5
NJ-030890,2014-2015,CLIFFSIDE PARK BORO,2967.5
NJ-030930,2014-2015,CLOSTER BORO,1111
NJ-030990,2014-2015,CRESSKILL BORO,1766
NJ-031070,2014-2015,DEMAREST BORO,678
NJ-031130,2014-2015,DUMONT BORO,2568.5
NJ-031230,2014-2015,EAST RUTHERFORD BORO,772
NJ-031270,2014-2015,EDGEWATER BORO,913
NJ-031345,2014-2015,ELMWOOD PARK,2417.5
NJ-031360,2014-2015,EMERSON BORO,1204
NJ-031370,2014-2015,ENGLEWOOD CITY,3092
NJ-031380,2014-2015,ENGLEWOOD CLIFFS BORO,547
NJ-031450,2014-2015,FAIR LAWN BORO,4701
NJ-031470,2014-2015,FAIRVIEW BORO,1311
NJ-031550,2014-2015,FORT LEE BORO,3735
NJ-031580,2014-2015,FRANKLIN LAKES BORO,1224
NJ-031700,2014-2015,GARFIELD CITY,4877.5
NJ-031760,2014-2015,GLEN ROCK BORO,2388
NJ-031860,2014-2015,HACKENSACK CITY,5626.5
NJ-032050,2014-2015,HARRINGTON PARK BORO,637
NJ-032080,2014-2015,HASBROUCK HEIGHTS BORO,1871.5
NJ-032090,2014-2015,HAWORTH BORO,407
NJ-032180,2014-2015,HILLSDALE BORO,1250
NJ-032200,2014-2015,HO HO KUS BORO,640
NJ-032620,2014-2015,LEONIA BORO,1832.5
NJ-032710,2014-2015,LITTLE FERRY BORO,980
NJ-032740,2014-2015,LODI BOROUGH,3244
NJ-032860,2014-2015,LYNDHURST TWP,2386.5
NJ-032900,2014-2015,MAHWAH TWP,3052.5
NJ-033060,2014-2015,MAYWOOD BORO,943
NJ-033170,2014-2015,MIDLAND PARK BORO,991
NJ-033330,2014-2015,MONTVALE BORO,1056
NJ-033350,2014-2015,MOONACHIE BORO,285
NJ-033550,2014-2015,NEW MILFORD BORO,1983.5
NJ-033600,2014-2015,NORTH ARLINGTON BORO,1730
NJ-033700,2014-2015,NORTHERN HIGHLANDS REG,1372
NJ-033710,2014-2015,NORTHERN VALLEY REGIONAL,2531
NJ-033730,2014-2015,NORTHVALE BORO,509
NJ-033740,2014-2015,NORWOOD BORO,586
NJ-033760,2014-2015,OAKLAND BORO,1551
NJ-033850,2014-2015,OLD TAPPAN BORO,738
NJ-033870,2014-2015,ORADELL BORO,732
NJ-033910,2014-2015,PALISADES PARK,1603
NJ-033930,2014-2015,PARAMUS BORO,3917
NJ-033940,2014-2015,PARK RIDGE BORO,1271
NJ-033960,2014-2015,PASCACK VALLEY REGIONAL,2027.5
NJ-034300,2014-2015,RAMAPO-INDIAN HILL REG,2313
NJ-034310,2014-2015,RAMSEY BORO,2855
NJ-034370,2014-2015,RIDGEFIELD BORO,1729
NJ-034380,2014-2015,RIDGEFIELD PARK TWP,2348.5
NJ-034390,2014-2015,RIDGEWOOD VILLAGE,5673.5
NJ-034405,2014-2015,RIVER DELL REGIONAL,1671.5
NJ-034410,2014-2015,RIVER EDGE BORO,1202
NJ-034430,2014-2015,RIVER VALE TWP,1223
NJ-034470,2014-2015,ROCHELLE PARK TWP,465
NJ-034600,2014-2015,RUTHERFORD BORO,2501.5
NJ-034610,2014-2015,SADDLE BROOK TWP,1668
NJ-034620,2014-2015,SADDLE RIVER BORO,187
NJ-034845,2014-2015,SOUTH BERGEN JOINTURE COM,311
NJ-034870,2014-2015,SOUTH HACKENSACK TWP,251
NJ-035150,2014-2015,TEANECK TWP,3614
NJ-035160,2014-2015,TENAFLY BORO,3597
NJ-035330,2014-2015,UPPER SADDLE RIVER BORO,1248
NJ-035410,2014-2015,WALDWICK BORO,1582.5
NJ-035430,2014-2015,WALLINGTON BORO,1280.5
NJ-035755,2014-2015,WESTWOOD REGIONAL,2720.5
NJ-035830,2014-2015,WOOD-RIDGE BORO,1197.5
NJ-035880,2014-2015,WOODCLIFF LAKE BORO,765
NJ-035920,2014-2015,WYCKOFF TWP,2099
NJ-050200,2014-2015,BASS RIVER TWP,115
NJ-050380,2014-2015,BEVERLY CITY,297
NJ-050475,2014-2015,BORDENTOWN REGIONAL,2561
NJ-050600,2014-2015,BURLINGTON CITY,1702
NJ-050605,2014-2015,BURLINGTON CO SPEC SERV,586
NJ-050610,2014-2015,BURLINGTON CO VOCATIONAL,2056
NJ-050620,2014-2015,BURLINGTON TWP,3987
NJ-050830,2014-2015,CHESTERFIELD TWP,728
NJ-050840,2014-2015,CINNAMINSON TWP,2412.5
NJ-051030,2014-2015,DELANCO TWP,387
NJ-051060,2014-2015,DELRAN TWP,2979
NJ-051250,2014-2015,EASTAMPTON TWP,593
NJ-051280,2014-2015,EDGEWATER PARK TWP,863
NJ-051420,2014-2015,EVESHAM TWP,4548
NJ-051520,2014-2015,FLORENCE TWP,1598
NJ-051910,2014-2015,HAINESPORT TWP,652
NJ-052610,2014-2015,LENAPE REGIONAL,6841
NJ-052850,2014-2015,LUMBERTON TWP,1470
NJ-052960,2014-2015,MANSFIELD TWP,658
NJ-053010,2014-2015,MAPLE SHADE TWP,2226
NJ-053070,2014-2015,MEDFORD LAKES BORO,536
NJ-053080,2014-2015,MEDFORD TWP,2731
NJ-053360,2014-2015,MOORESTOWN TWP,3924
NJ-053430,2014-2015,MOUNT HOLLY TWP,987
NJ-053440,2014-2015,MOUNT LAUREL TWP,4215
NJ-053540,2014-2015,NEW HANOVER TWP,183
NJ-053650,2014-2015,NORTH HANOVER TWP,1227
NJ-053690,2014-2015,NORTHERN BURLINGTON REG,2113
NJ-053920,2014-2015,PALMYRA BORO,937
NJ-054050,2014-2015,PEMBERTON TWP,5048
NJ-054320,2014-2015,RANCOCAS VALLEY REGIONAL,2077
NJ-054450,2014-2015,RIVERSIDE TWP,1387
NJ-054460,2014-2015,RIVERTON,278
NJ-054740,2014-2015,SHAMONG TWP,798
NJ-054930,2014-2015,SOUTHAMPTON TWP,726
NJ-055010,2014-2015,SPRINGFIELD TWP,230
NJ-055130,2014-2015,TABERNACLE TWP,776
NJ-055490,2014-2015,WASHINGTON TWP,41
NJ-055720,2014-2015,WESTAMPTON,957
NJ-055805,2014-2015,WILLINGBORO TWP,3747
NJ-055890,2014-2015,WOODLAND TWP,152
NJ-070150,2014-2015,AUDUBON BORO,1541
NJ-070190,2014-2015,BARRINGTON BORO,611
NJ-070260,2014-2015,BELLMAWR BORO,1159
NJ-070330,2014-2015,BERLIN BORO,847
NJ-070340,2014-2015,BERLIN TWP,634
NJ-070390,2014-2015,BLACK HORSE PIKE REGIONAL,3786
NJ-070580,2014-2015,BROOKLAWN BORO,339
NJ-070680,2014-2015,CAMDEN CITY,11164
NJ-070700,2014-2015,CAMDEN COUNTY VOCATIONAL,2118
NJ-070800,2014-2015,CHERRY HILL TWP,11234
NJ-070880,2014-2015,CLEMENTON BORO,434
NJ-070940,2014-2015,COLLINGSWOOD BORO,1877
NJ-071255,2014-2015,EASTERN CAMDEN COUNTY REG,2014
NJ-071720,2014-2015,GIBBSBORO BORO,270
NJ-071770,2014-2015,GLOUCESTER CITY,2064
NJ-071780,2014-2015,GLOUCESTER TWP,6488
NJ-071799,2014-2015,KIPP Cooper Norcross Academy at Lanning Square,104
NJ-071801,2014-2015,Uncommon Schools,70
NJ-071802,2014-2015,Mastery Schools of Camden,368
NJ-071880,2014-2015,HADDON HEIGHTS BORO,1287
NJ-071890,2014-2015,HADDON TWP,2117
NJ-071900,2014-2015,HADDONFIELD BORO,2593
NJ-072540,2014-2015,LAUREL SPRINGS BORO,211
NJ-072560,2014-2015,LAWNSIDE BORO,274
NJ-072670,2014-2015,LINDENWOLD BORO,2630
NJ-072890,2014-2015,MAGNOLIA BORO,417
NJ-073110,2014-2015,MERCHANTVILLE BORO,371
NJ-073420,2014-2015,MOUNT EPHRAIM BORO,425
NJ-073770,2014-2015,OAKLYN BORO,382
NJ-074060,2014-2015,PENNSAUKEN TWP,4923
NJ-074110,2014-2015,PINE HILL BORO,1937
NJ-074590,2014-2015,RUNNEMEDE BORO,844
NJ-074790,2014-2015,SOMERDALE BORO,500
NJ-075035,2014-2015,STERLING HIGH SCHOOL DIST,961
NJ-075080,2014-2015,STRATFORD BORO,858
NJ-075400,2014-2015,VOORHEES TWP,2992
NJ-075560,2014-2015,WATERFORD TWP,878
NJ-075820,2014-2015,WINSLOW TWP,4867
NJ-075900,2014-2015,WOODLYNNE BORO,382
NJ-090170,2014-2015,AVALON BORO,50
NJ-090710,2014-2015,CAPE MAY CITY,175
NJ-090715,2014-2015,CAPE MAY CO SPECIAL SERV,255.5
NJ-090720,2014-2015,CAPE MAY CO VOCATIONAL,648.5
NJ-091080,2014-2015,DENNIS TWP,527
NJ-092820,2014-2015,LOWER CAPE MAY REGIONAL,1427
NJ-092840,2014-2015,LOWER TWP,1807
NJ-093130,2014-2015,MIDDLE TWP,2490.5
NJ-093680,2014-2015,NORTH WILDWOOD CITY,304
NJ-093780,2014-2015,OCEAN CITY,2150.5
NJ-095060,2014-2015,STONE HARBOR BORO,68
NJ-095340,2014-2015,UPPER TWP,1404
NJ-095610,2014-2015,WEST CAPE MAY BORO,80
NJ-095790,2014-2015,WILDWOOD CITY,870
NJ-095800,2014-2015,WILDWOOD CREST BORO,254
NJ-095840,2014-2015,WOODBINE BORO,181
NJ-110540,2014-2015,BRIDGETON CITY,5683.5
NJ-110950,2014-2015,COMMERCIAL TWP,557
NJ-110995,2014-2015,CUMBERLAND CO VOCATIONAL,347.5
NJ-110997,2014-2015,CUMBERLAND REGIONAL,1296.5
NJ-111020,2014-2015,DEERFIELD TWP,340
NJ-111120,2014-2015,DOWNE TWP,191
NJ-111460,2014-2015,FAIRFIELD TWP,628
NJ-111820,2014-2015,GREENWICH TWP,53
NJ-112270,2014-2015,HOPEWELL TWP,496
NJ-112570,2014-2015,LAWRENCE TWP,502
NJ-113050,2014-2015,MAURICE RIVER TWP,424
NJ-113230,2014-2015,MILLVILLE CITY,5712.5
NJ-115070,2014-2015,STOW CREEK TWP,111
NJ-115300,2014-2015,UPPER DEERFIELD TWP,913
NJ-115390,2014-2015,VINELAND CITY,9720
NJ-130250,2014-2015,BELLEVILLE TOWN,4468
NJ-130410,2014-2015,BLOOMFIELD TWP,6175
NJ-130660,2014-2015,CALDWELL-WEST CALDWELL,2643.5
NJ-130760,2014-2015,CEDAR GROVE TWP,1637
NJ-131210,2014-2015,EAST ORANGE,9549.5
NJ-131387,2014-2015,ESSEX CO ED SERV COMM,51
NJ-131390,2014-2015,ESSEX CO VOC-TECH,2240
NJ-131400,2014-2015,ESSEX FELLS BORO,209
NJ-131465,2014-2015,FAIRFIELD TWP,623
NJ-131750,2014-2015,GLEN RIDGE BORO,1850
NJ-132330,2014-2015,IRVINGTON TOWNSHIP,6888
NJ-132730,2014-2015,LIVINGSTON TWP,5870.5
NJ-133190,2014-2015,MILLBURN TWP,4869
NJ-133310,2014-2015,MONTCLAIR TOWN,6613
NJ-133570,2014-2015,NEWARK CITY,32098
NJ-133630,2014-2015,NORTH CALDWELL BORO,658
NJ-133750,2014-2015,NUTLEY TOWN,3992.5
NJ-133880,2014-2015,CITY OF ORANGE TWP,5183.5
NJ-134530,2014-2015,ROSELAND BORO,438
NJ-134900,2014-2015,SOUTH ORANGE-MAPLEWOOD,6858.5
NJ-135370,2014-2015,VERONA BORO,2163
NJ-135630,2014-2015,WEST ESSEX REGIONAL,1646
NJ-135680,2014-2015,WEST ORANGE TOWN,6727
NJ-150860,2014-2015,CLAYTON BORO,1447
NJ-150870,2014-2015,CLEARVIEW REGIONAL,2456
NJ-151100,2014-2015,DEPTFORD TWP,4320.5
NJ-151180,2014-2015,EAST GREENWICH TWP,1243
NJ-151330,2014-2015,ELK TWP,351
NJ-151590,2014-2015,FRANKLIN TWP,1389
NJ-151715,2014-2015,GATEWAY REGIONAL,959.5
NJ-151730,2014-2015,GLASSBORO,2126
NJ-151774,2014-2015,GLOUCESTER CO SPEC SERV,661
NJ-151775,2014-2015,GLOUCESTER CO VOCATIONAL,1339
NJ-151830,2014-2015,GREENWICH TWP,466
NJ-152070,2014-2015,HARRISON TWP,1484
NJ-152440,2014-2015,KINGSWAY REGIONAL,2531
NJ-152750,2014-2015,LOGAN TWP,830
NJ-152990,2014-2015,MANTUA TWP,1290
NJ-153280,2014-2015,MONROE TWP,6046
NJ-153490,2014-2015,NATIONAL PARK BORO,271
NJ-154020,2014-2015,PAULSBORO BORO,1156
NJ-154140,2014-2015,PITMAN BORO,1243
NJ-154880,2014-2015,SOUTH HARRISON TWP,371
NJ-154940,2014-2015,DELSEA REGIONAL H.S DIST.,1700
NJ-155120,2014-2015,SWEDESBORO-WOOLWICH,1744
NJ-155500,2014-2015,WASHINGTON TWP,7435
NJ-155590,2014-2015,WENONAH BORO,208
NJ-155620,2014-2015,WEST DEPTFORD TWP,3009.5
NJ-155740,2014-2015,WESTVILLE BORO,360
NJ-155860,2014-2015,WOODBURY CITY,1536
NJ-155870,2014-2015,WOODBURY HEIGHTS BORO,220
NJ-170220,2014-2015,BAYONNE CITY,9611
NJ-171200,2014-2015,EAST NEWARK BORO,265
NJ-171850,2014-2015,GUTTENBERG TOWN,975
NJ-172060,2014-2015,HARRISON TOWN,2097
NJ-172210,2014-2015,HOBOKEN CITY,1888
NJ-172295,2014-2015,HUDSON COUNTY VOCATIONAL,1866
NJ-172390,2014-2015,JERSEY CITY,27810
NJ-172410,2014-2015,KEARNY TOWN,5913
NJ-173610,2014-2015,NORTH BERGEN TWP,8051
NJ-174730,2014-2015,SECAUCUS TOWN,2188
NJ-175240,2014-2015,UNION CITY,11800
NJ-175580,2014-2015,WEEHAWKEN TWP,1326
NJ-175670,2014-2015,WEST NEW YORK TOWN,8372
NJ-190020,2014-2015,ALEXANDRIA TWP,486
NJ-190370,2014-2015,BETHLEHEM TWP,400
NJ-190430,2014-2015,BLOOMSBURY BORO,123
NJ-190670,2014-2015,CALIFON BORO,109
NJ-190910,2014-2015,CLINTON TOWN,482
NJ-190920,2014-2015,CLINTON TWP,1451
NJ-191040,2014-2015,DELAWARE TWP,379
NJ-191050,2014-2015,DELAWARE VALLEY REGIONAL,859
NJ-191160,2014-2015,EAST AMWELL TWP,390
NJ-191376,2014-2015,SOUTH HUNTERDON REGIONAL SCHOOL DISTRICT,942
NJ-191510,2014-2015,FLEMINGTON-RARITAN REG,3339
NJ-191600,2014-2015,FRANKLIN TWP,300
NJ-191680,2014-2015,FRENCHTOWN BORO,143
NJ-191970,2014-2015,HAMPTON BORO,123
NJ-192140,2014-2015,HIGH BRIDGE BORO,380
NJ-192220,2014-2015,HOLLAND TWP,585
NJ-192300,2014-2015,HUNTERDON CENTRAL REG,2935.5
NJ-192305,2014-2015,HUNTERDON CO ED SER COMM,84
NJ-192308,2014-2015,HUNTERDON CO VOCATIONAL,249.5
NJ-192450,2014-2015,KINGWOOD TWP,358
NJ-192590,2014-2015,LEBANON BORO,93
NJ-192600,2014-2015,LEBANON TWP,683
NJ-193180,2014-2015,MILFORD BORO,96
NJ-193660,2014-2015,N HUNT/VOORHEES REGIONAL,2650
NJ-194350,2014-2015,READINGTON TWP,1744
NJ-195180,2014-2015,TEWKSBURY TWP,656
NJ-195270,2014-2015,UNION TWP,475
NJ-211245,2014-2015,EAST WINDSOR REGIONAL,5109
NJ-211430,2014-2015,EWING TWP,3597
NJ-211950,2014-2015,HAMILTON TWP,11782.5
NJ-212280,2014-2015,HOPEWELL VALLEY REGIONAL,3625.5
NJ-212580,2014-2015,LAWRENCE TWP,3992.5
NJ-213103,2014-2015,MERCER CO SPECIAL SERVICE,653.5
NJ-213105,2014-2015,MERCER COUNTY VOCATIONAL,487.5
NJ-214255,2014-2015,PRINCETON REGIONAL,3540
NJ-215210,2014-2015,TRENTON CITY,11183
NJ-215510,2014-2015,ROBBINSVILLE TWP,2952
NJ-215715,2014-2015,W WINDSOR-PLAINSBORO REG,9626
NJ-230750,2014-2015,CARTERET BORO,3717
NJ-230970,2014-2015,CRANBURY TWP,513
NJ-231140,2014-2015,DUNELLEN BORO,1145.5
NJ-231170,2014-2015,EAST BRUNSWICK TWP,8147.5
NJ-231290,2014-2015,EDISON TWP,14659
NJ-232150,2014-2015,HIGHLAND PARK BORO,1616
NJ-232370,2014-2015,JAMESBURG BORO,673
NJ-233120,2014-2015,METUCHEN BORO,2145
NJ-233140,2014-2015,MIDDLESEX BORO,2080.5
NJ-233145,2014-2015,MIDDLESEX CO REG SER COMM,704
NJ-233150,2014-2015,MIDDLESEX CO VOCATIONAL,2003.5
NJ-233220,2014-2015,MILLTOWN BORO,681.5
NJ-233290,2014-2015,MONROE TWP,6293.5
NJ-233530,2014-2015,NEW BRUNSWICK CITY,8614.5
NJ-233620,2014-2015,NORTH BRUNSWICK TWP,6162
NJ-233845,2014-2015,OLD BRIDGE TWP,8975
NJ-234090,2014-2015,PERTH AMBOY CITY,10474.5
NJ-234130,2014-2015,PISCATAWAY TWP,7304
NJ-234660,2014-2015,SAYREVILLE BORO,6023
NJ-234830,2014-2015,SOUTH AMBOY CITY,1080.5
NJ-234860,2014-2015,SOUTH BRUNSWICK TWP,8635.5
NJ-234910,2014-2015,SOUTH PLAINFIELD BORO,3538
NJ-234920,2014-2015,SOUTH RIVER BORO,2276.5
NJ-234970,2014-2015,SPOTSWOOD BORO,1766
NJ-235850,2014-2015,WOODBRIDGE TWP,13600
NJ-250100,2014-2015,ASBURY PARK CITY,1968
NJ-250130,2014-2015,ATLANTIC HIGHLANDS BORO,317
NJ-250180,2014-2015,AVON BORO,153
NJ-250225,2014-2015,BAYSHORE JOINTURE COMM,57
NJ-250270,2014-2015,BELMAR BORO,533
NJ-250500,2014-2015,BRADLEY BEACH BORO,283
NJ-250560,2014-2015,BRIELLE BORO,560
NJ-250945,2014-2015,COLTS NECK TWP,952
NJ-251000,2014-2015,DEAL BORO,163
NJ-251260,2014-2015,EATONTOWN BORO,1050
NJ-251440,2014-2015,FAIR HAVEN BORO,1006
NJ-251490,2014-2015,FARMINGDALE BORO,165
NJ-251640,2014-2015,FREEHOLD BORO,1628
NJ-251650,2014-2015,FREEHOLD REGIONAL,11133
NJ-251660,2014-2015,FREEHOLD TWP,3906
NJ-252105,2014-2015,HAZLET TWP,3038
NJ-252120,2014-2015,HENRY HUDSON REGIONAL,307.5
NJ-252160,2014-2015,HIGHLANDS BORO,170
NJ-252230,2014-2015,HOLMDEL TWP,2998
NJ-252290,2014-2015,HOWELL TWP,6123
NJ-252400,2014-2015,KEANSBURG BORO,1477.5
NJ-252430,2014-2015,KEYPORT BORO,1079.5
NJ-252720,2014-2015,LITTLE SILVER BORO,845
NJ-252770,2014-2015,LONG BRANCH CITY,5648.5
NJ-252920,2014-2015,MANALAPAN-ENGLISHTOWN REG,5082
NJ-252930,2014-2015,MANASQUAN BORO,1607.5
NJ-253030,2014-2015,MARLBORO TWP,5092
NJ-253040,2014-2015,MATAWAN-ABERDEEN REGIONAL,3841.5
NJ-253160,2014-2015,MIDDLETOWN TWP,9645
NJ-253200,2014-2015,MILLSTONE TWP,1188
NJ-253250,2014-2015,MONMOUTH BEACH BORO,266
NJ-253255,2014-2015,MONMOUTH-OCEAN ED SER COM,30
NJ-253260,2014-2015,MONMOUTH CO VOCATIONAL,2257
NJ-253270,2014-2015,MONMOUTH REGIONAL,950.5
NJ-253500,2014-2015,NEPTUNE CITY,379
NJ-253510,2014-2015,NEPTUNE TWP,4352.5
NJ-253810,2014-2015,OCEAN TWP,3723
NJ-253830,2014-2015,OCEANPORT BORO,628
NJ-254360,2014-2015,RED BANK BORO,1224
NJ-254365,2014-2015,RED BANK REGIONAL,1220.5
NJ-254520,2014-2015,ROOSEVELT BORO,95
NJ-254570,2014-2015,RUMSON BORO,974
NJ-254580,2014-2015,RUMSON-FAIR HAVEN REG,933
NJ-254690,2014-2015,SEA GIRT BORO,161
NJ-254760,2014-2015,SHORE REGIONAL,615
NJ-254770,2014-2015,SHREWSBURY BORO,482
NJ-254980,2014-2015,SPRING LAKE BORO,213
NJ-254990,2014-2015,SPRING LAKE HEIGHTS BORO,345
NJ-255185,2014-2015,TINTON FALLS,1507
NJ-255230,2014-2015,UNION BEACH,630
NJ-255310,2014-2015,UPPER FREEHOLD REGIONAL,2328.5
NJ-255420,2014-2015,WALL TWP,3622.5
NJ-255640,2014-2015,WEST LONG BRANCH BORO,579
NJ-270450,2014-2015,BOONTON TOWN,1160.5
NJ-270460,2014-2015,BOONTON TWP,453
NJ-270630,2014-2015,BUTLER BORO,1146.5
NJ-270785,2014-2015,SCH DIST OF THE CHATHAMS,4110
NJ-270820,2014-2015,CHESTER TWP,1162
NJ-271090,2014-2015,DENVILLE TWP,1672
NJ-271110,2014-2015,DOVER TOWN,3185
NJ-271190,2014-2015,EAST HANOVER TWP,995
NJ-271530,2014-2015,FLORHAM PARK BORO,989
NJ-271990,2014-2015,HANOVER PARK REGIONAL,1587
NJ-272000,2014-2015,HANOVER TWP,1463
NJ-272010,2014-2015,HARDING TOWNSHIP,306
NJ-272380,2014-2015,JEFFERSON TWP,3199
NJ-272460,2014-2015,KINNELON BORO,1994.5
NJ-272650,2014-2015,LINCOLN PARK BORO,951
NJ-272870,2014-2015,MADISON BORO,2529.5
NJ-273090,2014-2015,MENDHAM BORO,597
NJ-273100,2014-2015,MENDHAM TWP,707
NJ-273240,2014-2015,MINE HILL TWP,369
NJ-273340,2014-2015,MONTVILLE TWP,3862.5
NJ-273364,2014-2015,EDUC SERV COMM MORRIS CO,67
NJ-273365,2014-2015,MORRIS COUNTY VOCATIONAL,998
NJ-273370,2014-2015,MORRIS HILLS REGIONAL,2762.5
NJ-273380,2014-2015,MORRIS PLAINS BORO,613
NJ-273385,2014-2015,MORRIS SCHOOL DISTRICT,5225.5
NJ-273410,2014-2015,MOUNT ARLINGTON BORO,345
NJ-273450,2014-2015,MOUNT OLIVE TWP,4670.5
NJ-273460,2014-2015,MOUNTAIN LAKES BORO,1532.5
NJ-273520,2014-2015,NETCONG BORO,296
NJ-273950,2014-2015,PARSIPPANY-TROY HILLS TWP,6925
NJ-274000,2014-2015,LONG HILL TWP,830
NJ-274080,2014-2015,PEQUANNOCK TWP,2224
NJ-274330,2014-2015,RANDOLPH TWP,4819
NJ-274440,2014-2015,RIVERDALE BORO,324
NJ-274480,2014-2015,ROCKAWAY BORO,578
NJ-274490,2014-2015,ROCKAWAY TWP,2359
NJ-274560,2014-2015,ROXBURY TWP,3696.5
NJ-275520,2014-2015,WASHINGTON TWP,2272
NJ-275660,2014-2015,WEST MORRIS REGIONAL,2671.5
NJ-275770,2014-2015,WHARTON BORO,780
NJ-290185,2014-2015,BARNEGAT TWP,3179.5
NJ-290210,2014-2015,BAY HEAD BORO,147
NJ-290230,2014-2015,BEACH HAVEN BORO,65
NJ-290320,2014-2015,BERKELEY TWP,2092
NJ-290530,2014-2015,BRICK TWP,9144.5
NJ-290770,2014-2015,CENTRAL REGIONAL,1951
NJ-291150,2014-2015,EAGLESWOOD TWP,136
NJ-292350,2014-2015,ISLAND HEIGHTS BORO,119
NJ-292360,2014-2015,JACKSON TWP,8746
NJ-292480,2014-2015,LACEY TWP,4289.5
NJ-292500,2014-2015,LAKEHURST BORO,384
NJ-292520,2014-2015,LAKEWOOD TWP,5807
NJ-292550,2014-2015,LAVALLETTE BORO,138
NJ-292690,2014-2015,LITTLE EGG HARBOR TWP,1608
NJ-292760,2014-2015,LONG BEACH ISLAND,232
NJ-292940,2014-2015,MANCHESTER TWP,2979.5
NJ-293790,2014-2015,OCEAN COUNTY VOCATIONAL,1381
NJ-293800,2014-2015,OCEAN GATE BORO,159
NJ-293820,2014-2015,OCEAN TWP,544
NJ-294105,2014-2015,PINELANDS REGIONAL,1580.5
NJ-294190,2014-2015,PLUMSTED TWP,1492.5
NJ-294210,2014-2015,POINT PLEASANT BORO,2787
NJ-294220,2014-2015,POINT PLEASANT BEACH BORO,818
NJ-294710,2014-2015,SEASIDE HEIGHTS BORO,220
NJ-294950,2014-2015,SOUTHERN REGIONAL,2938
NJ-295020,2014-2015,STAFFORD TWP,2234
NJ-295190,2014-2015,TOMS RIVER REGIONAL,15759
NJ-295220,2014-2015,TUCKERTON BORO,331
NJ-310420,2014-2015,BLOOMINGDALE BORO,596
NJ-310900,2014-2015,CLIFTON CITY,10840
NJ-311920,2014-2015,HALEDON BORO,1034
NJ-312100,2014-2015,HAWTHORNE BORO,2279
NJ-312510,2014-2015,LAKELAND REGIONAL,953.5
NJ-312700,2014-2015,LITTLE FALLS TWP,880
NJ-313640,2014-2015,NORTH HALEDON BORO,706
NJ-313970,2014-2015,PASSAIC CITY,13187
NJ-313975,2014-2015,PASSAIC CO ED SERV COMM,72
NJ-313980,2014-2015,PASSAIC CO MANCHESTER REG,896
NJ-313990,2014-2015,PASSAIC VALLEY REGIONAL,1347.5
NJ-313995,2014-2015,PASSAIC COUNTY VOCATIONAL,3355.5
NJ-314010,2014-2015,PATERSON CITY,25038
NJ-314230,2014-2015,POMPTON LAKES BORO,1701.5
NJ-314270,2014-2015,PROSPECT PARK BORO,866
NJ-314400,2014-2015,RINGWOOD BORO,1220
NJ-315200,2014-2015,TOTOWA BORO,1076
NJ-315440,2014-2015,WANAQUE BORO,954
NJ-315570,2014-2015,WAYNE TWP,7973.5
NJ-315650,2014-2015,WEST MILFORD TWP,3600
NJ-315690,2014-2015,WOODLAND PARK,1096
NJ-330060,2014-2015,ALLOWAY TWP,374
NJ-331350,2014-2015,ELSINBORO TWP,124
NJ-332800,2014-2015,LOWER ALLOWAYS CREEK,178
NJ-332950,2014-2015,MANNINGTON TWP,182
NJ-333860,2014-2015,OLDMANS TWP,265
NJ-334070,2014-2015,PENNS GRV-CARNEY'S PT REG,2270.5
NJ-334075,2014-2015,PENNSVILLE,1719.5
NJ-334150,2014-2015,PITTSGROVE TWP,1682
NJ-334280,2014-2015,QUINTON TWP,359
NJ-334630,2014-2015,SALEM CITY,1175.5
NJ-334635,2014-2015,SALEM CO SPECIAL SERVICE,210
NJ-334640,2014-2015,SALEM COUNTY VOCATIONAL,826
NJ-335320,2014-2015,UPPER PITTSGROVE TWP,360
NJ-335910,2014-2015,WOODSTOWN-PILESGROVE REG,1519.5
NJ-350240,2014-2015,BEDMINSTER TWP,544
NJ-350350,2014-2015,BERNARDS TWP,5703
NJ-350490,2014-2015,BOUND BROOK BORO,1804.5
NJ-350510,2014-2015,BRANCHBURG TWP,1564
NJ-350555,2014-2015,BRIDGEWATER-RARITAN REG,8529
NJ-351610,2014-2015,FRANKLIN TWP,7512.5
NJ-351810,2014-2015,GREEN BROOK TWP,897
NJ-352170,2014-2015,HILLSBOROUGH TWP,7228.5
NJ-353000,2014-2015,MANVILLE BORO,1413
NJ-353320,2014-2015,MONTGOMERY TWP,4751
